,lwe_thickness,total_thickness_of_water_storage
1981-01-31,,10.425130208328483
1981-02-28,,7.972005208328483
1981-03-31,,8.222005208328483
1981-04-30,,4.370442708328483
1981-05-31,,3.3235677083284827
1981-06-30,,2.5266927083284827
1981-07-31,,2.9407552083284827
1981-08-31,,4.776692708328483
1981-09-30,,3.0188802083284827
1981-10-31,,5.636067708328483
1981-11-30,,7.432942708328483
1981-12-31,,10.026692708328483
1982-01-31,,8.315755208328483
1982-02-28,,6.011067708328483
1982-03-31,,4.393880208328483
1982-04-30,,2.3470052083284827
1982-05-31,,1.5735677083284827
1982-06-30,,-0.5514322916715173
1982-07-31,,-0.8873697916715173
1982-08-31,,-2.5123697916715173
1982-09-30,,-4.387369791671517
1982-10-31,,-4.223307291671517
1982-11-30,,-3.9342447916715173
1982-12-31,,-1.7623697916715173
1983-01-31,,1.3313802083284827
1983-02-28,,3.8860677083284827
1983-03-31,,2.3938802083284827
1983-04-30,,4.886067708328483
1983-05-31,,4.839192708328483
1983-06-30,,1.2845052083284827
1983-07-31,,-3.5436197916715173
1983-08-31,,-2.6139322916715173
1983-09-30,,-4.731119791671517
1983-10-31,,-4.949869791671517
1983-11-30,,-5.692057291671517
1983-12-31,,-2.7701822916715173
1984-01-31,,0.026692708328482695
1984-02-29,,1.4720052083284827
1984-03-31,,-0.6451822916715173
1984-04-30,,-0.4889322916715173
1984-05-31,,-0.6529947916715173
1984-06-30,,1.6595052083284827
1984-07-31,,0.7688802083284827
1984-08-31,,0.034505208328482695
1984-09-30,,0.4251302083284827
1984-10-31,,1.2141927083284827
1984-11-30,,-0.3717447916715173
1984-12-31,,-0.2076822916715173
1985-01-31,,-0.043619791671517305
1985-02-28,,0.7220052083284827
1985-03-31,,-0.2936197916715173
1985-04-30,,0.6204427083284827
1985-05-31,,0.4485677083284827
1985-06-30,,-0.1061197916715173
1985-07-31,,-0.4654947916715173
1985-08-31,,0.3391927083284827
1985-09-30,,-0.5983072916715173
1985-10-31,,-3.1217447916715173
1985-11-30,,-2.7076822916715173
1985-12-31,,-0.1061197916715173
1986-01-31,,2.9876302083284827
1986-02-28,,2.2220052083284827
1986-03-31,,0.8470052083284827
1986-04-30,,1.7376302083284827
1986-05-31,,0.8470052083284827
1986-06-30,,2.9876302083284827
1986-07-31,,-1.7467447916715173
1986-08-31,,-1.8326822916715173
1986-09-30,,-0.1998697916715173
1986-10-31,,-1.4733072916715173
1986-11-30,,-0.2076822916715173
1986-12-31,,0.011067708328482695
1987-01-31,,7.175130208328483
1987-02-28,,5.862630208328483
1987-03-31,,5.300130208328483
1987-04-30,,4.143880208328483
1987-05-31,,3.1751302083284827
1987-06-30,,4.511067708328483
1987-07-31,,4.425130208328483
1987-08-31,,5.753255208328483
1987-09-30,,4.776692708328483
1987-10-31,,2.5735677083284827
1987-11-30,,2.2923177083284827
1987-12-31,,2.7923177083284827
1988-01-31,,3.1126302083284827
1988-02-29,,4.472005208328483
1988-03-31,,8.011067708328483
1988-04-30,,6.026692708328483
1988-05-31,,0.3626302083284827
1988-06-30,,-0.2311197916715173
1988-07-31,,0.7063802083284827
1988-08-31,,-0.6451822916715173
1988-09-30,,-1.0514322916715173
1988-10-31,,-1.5826822916715173
1988-11-30,,-1.0514322916715173
1988-12-31,,4.167317708328483
1989-01-31,,3.6673177083284827
1989-02-28,,1.4095052083284827
1989-03-31,,2.3235677083284827
1989-04-30,,1.5891927083284827
1989-05-31,,-0.1061197916715173
1989-06-30,,-2.5123697916715173
1989-07-31,,-2.9576822916715173
1989-08-31,,-2.7076822916715173
1989-09-30,,-2.6608072916715173
1989-10-31,,-2.5358072916715173
1989-11-30,,-0.6451822916715173
1989-12-31,,1.1204427083284827
1990-01-31,,0.5891927083284827
1990-02-28,,0.6595052083284827
1990-03-31,,1.7610677083284827
1990-04-30,,0.1204427083284827
1990-05-31,,-1.6295572916715173
1990-06-30,,-1.2311197916715173
1990-07-31,,-2.4654947916715173
1990-08-31,,-5.981119791671517
1990-09-30,,-4.074869791671517
1990-10-31,,-4.402994791671517
1990-11-30,,-2.5358072916715173
1990-12-31,,0.3782552083284827
1991-01-31,,0.9173177083284827
1991-02-28,,-1.1842447916715173
1991-03-31,,-2.5904947916715173
1991-04-30,,-2.9889322916715173
1991-05-31,,-2.2076822916715173
1991-06-30,,-2.5201822916715173
1991-07-31,,-2.7701822916715173
1991-08-31,,-3.8014322916715173
1991-09-30,,-6.793619791671517
1991-10-31,,-7.137369791671517
1991-11-30,,-4.965494791671517
1991-12-31,,-3.1764322916715173
1992-01-31,,-0.043619791671517305
1992-02-29,,0.0970052083284827
