,Q$obs$ GRDC,Q$sim$ PCR-GLOBWB (1km)
1981-01,1107.5806451612902,3767.786
1981-02,1253.9285714285713,3029.765
1981-03,1806.1290322580646,3317.9907
1981-04,1255.9,2552.395
1981-05,878.3548387096774,2490.4753
1981-06,704.9,2183.35
1981-07,645.6451612903226,2625.6956
1981-08,1151.516129032258,2730.743
1981-09,636.2,2143.6655
1981-10,893.8064516129032,2853.222
1981-11,1492.6666666666667,2997.7224
1981-12,1740.967741935484,3198.1018
1982-01,1856.1290322580646,3212.3381
1982-02,1447.5,2646.955
1982-03,1207.0967741935483,2121.0078
1982-04,1140.2333333333333,1759.7227
1982-05,844.1612903225806,1693.5265
1982-06,490.3,1517.3429
1982-07,394.16129032258067,1646.0508
1982-08,321.48387096774195,1303.8643
1982-09,293.93333333333334,928.3891
1982-10,330.9032258064516,1059.2882
1982-11,364.26666666666665,934.5957
1982-12,421.7741935483871,1173.2222
1983-01,674.258064516129,1661.1844
1983-02,924.25,1966.1837
1983-03,847.9354838709677,2066.6182
1983-04,1314.7666666666667,2604.4944
1983-05,1008.483870967742,3030.588
1983-06,577.1333333333333,2407.8982
1983-07,316.7741935483871,1384.694
1983-08,517.7741935483871,2169.665
1983-09,332.9,1146.0272
1983-10,349.6774193548387,988.09595
1983-11,335.46666666666664,805.3211
1983-12,424.19354838709677,1455.9192
1984-01,604.1290322580645,1808.348
1984-02,718.1724137931035,2109.0254
1984-03,603.7096774193549,1638.9966
1984-04,773.6,1651.1699
1984-05,624.6774193548387,1596.8325
1984-06,780.5666666666667,2237.133
1984-07,485.741935483871,2101.6057
1984-08,496.258064516129,1964.0099
1984-09,463.1,1922.3652
1984-10,613.2258064516129,1843.4303
1984-11,474.23333333333335,1657.9333
1984-12,581.0322580645161,1710.4883
1985-01,512.5806451612904,1545.1165
1985-02,805.5714285714286,1836.7704
1985-03,727.9677419354839,1630.9556
1985-04,1010.4333333333333,1667.9067
1985-05,727.5483870967741,1921.8425
1985-06,518.1,1728.2552
1985-07,426.80645161290323,1768.5535
1985-08,412.16129032258067,2086.0764
1985-09,401.46666666666664,1800.2365
1985-10,343.51612903225805,1326.6512
1985-11,366.56666666666666,1146.3741
1985-12,586.0,1779.9221
1986-01,888.3548387096774,2501.227
1986-02,896.8214285714286,2153.3062
1986-03,813.5806451612904,1971.8636
1986-04,1248.0,2151.271
1986-05,817.3225806451613,2042.1337
1986-06,1257.1,3066.6235
1986-07,455.96774193548384,1913.8827
1986-08,389.6774193548387,1848.9219
1986-09,478.7,1860.9705
1986-10,453.4193548387097,1736.5942
1986-11,573.6666666666666,1657.1616
1986-12,498.6774193548387,1562.007
1987-01,1499.8064516129032,3443.8662
1987-02,1440.4285714285713,2946.506
1987-03,1470.6451612903227,2641.8792
1987-04,2181.6666666666665,2446.35
1987-05,1177.0967741935483,2264.1326
1987-06,1043.2666666666667,2195.236
1987-07,848.8709677419355,2558.2449
1987-08,761.7741935483871,2719.4233
1987-09,665.5,2452.261
1987-10,601.3225806451613,2075.4875
1987-11,647.2333333333333,1829.2883
1987-12,891.5806451612904,2335.8225
1988-01,1077.483870967742,2139.909
1988-02,1099.7586206896551,2289.8923
1988-03,1568.0645161290322,3283.633
1988-04,2295.3333333333335,3051.02
1988-05,735.3548387096774,1775.9534
1988-06,561.3,1696.7672
1988-07,481.1290322580645,1678.2502
1988-08,373.2903225806452,1789.3749
1988-09,436.46666666666664,1531.1066
1988-10,434.9032258064516,1290.0386
1988-11,439.96666666666664,1367.13
1988-12,1030.6451612903227,2541.5166
1989-01,1195.0645161290322,2274.8267
1989-02,663.25,1642.542
1989-03,806.7096774193549,1703.4521
1989-04,593.4666666666667,1736.8392
1989-05,588.2903225806451,1553.9503
1989-06,328.76666666666665,1291.3668
1989-07,265.1290322580645,1375.3602
1989-08,250.74193548387098,1245.2495
1989-09,260.6,1382.0269
1989-10,338.5483870967742,1269.1632
1989-11,453.1333333333333,1617.4456
1989-12,622.6774193548387,1961.0273
1990-01,597.0967741935484,1841.0886
1990-02,584.0714285714286,1804.0514
1990-03,997.6129032258065,2122.1465
1990-04,499.2,1722.597
1990-05,460.35483870967744,1513.1434
1990-06,373.3,1959.818
1990-07,283.9032258064516,1620.9104
1990-08,209.80645161290323,1185.088
1990-09,281.9,1288.0071
1990-10,297.7096774193548,1139.0481
1990-11,392.2,1440.629
1990-12,540.9032258064516,1926.5242
1991-01,755.0,2061.3408
1991-02,436.14285714285717,1494.5193
1991-03,497.741935483871,1478.4185
1991-04,468.3,1241.0262
1991-05,420.48387096774195,1425.5682
1991-06,332.3333333333333,1498.4025
1991-07,330.4516129032258,1766.3246
1991-08,378.9032258064516,1488.5828
1991-09,227.3,961.1183
1991-10,234.7741935483871,835.9675
1991-11,302.43333333333334,1134.8341
1991-12,362.4193548387097,1354.2959
1992-01,761.6451612903226,1884.805
1992-02,660.5172413793103,1817.7852
1992-03,890.516129032258,1960.5499
1992-04,1115.2,2233.6648
1992-05,579.3870967741935,1745.1925
1992-06,298.8333333333333,1449.7261
1992-07,330.61290322580646,1711.5334
1992-08,237.83870967741936,1073.0743
1992-09,250.33333333333334,1281.7141
1992-10,256.4516129032258,1041.6029
1992-11,364.7,1453.0044
1992-12,592.0322580645161,2022.1058
1993-01,617.5806451612904,2053.8484
1993-02,659.7857142857143,1905.142
1993-03,725.4516129032259,1745.6825
1993-04,672.9333333333333,1470.438
1993-05,379.83870967741933,1329.7095
1993-06,377.6666666666667,1692.2941
1993-07,382.4516129032258,1999.1354
1993-08,408.4516129032258,1950.8044
1993-09,406.73333333333335,2107.044
1993-10,376.8709677419355,1955.7323
1993-11,457.26666666666665,1564.315
1993-12,836.0,2140.1108
1994-01,1707.4193548387098,3087.1545
1994-02,1254.5357142857142,3193.0798
1994-03,1447.0967741935483,2680.6384
1994-04,1762.3333333333333,3407.4973
1994-05,972.4193548387096,2488.248
1994-06,618.4666666666667,1852.9149
1994-07,351.06451612903226,1424.2543
1994-08,320.51612903225805,1617.1027
1994-09,509.26666666666665,2018.7543
1994-10,415.64516129032256,1480.5994
1994-11,471.2,1289.783
1994-12,648.8064516129032,1516.921
1995-01,913.1612903225806,1997.7343
1995-02,1774.642857142857,2825.8223
1995-03,1051.1290322580646,2267.6606
1995-04,1380.7333333333333,2611.4172
1995-05,1046.741935483871,2317.715
1995-06,1244.2,2956.858
1995-07,651.6129032258065,2228.1316
1995-08,347.51612903225805,1551.631
1995-09,707.3,2285.6135
1995-10,635.8387096774194,1708.0094
1995-11,684.6333333333333,1771.5079
1995-12,662.1290322580645,1719.9094
1996-01,735.5483870967741,1644.7734
1996-02,551.9655172413793,1369.9089
1996-03,546.1935483870968,1309.0354
1996-04,919.0333333333333,1285.3575
1996-05,1054.483870967742,1541.4066
1996-06,696.0666666666667,1526.7709
1996-07,758.2903225806451,2186.5032
1996-08,509.4193548387097,1905.4476
1996-09,492.76666666666665,1848.4908
1996-10,521.5483870967741,1918.8821
1996-11,706.5333333333333,1985.7996
1996-12,617.8387096774194,2078.0012
1997-01,553.1612903225806,1518.1549
1997-02,772.6428571428571,1739.1564
1997-03,1269.6129032258063,1985.4581
1997-04,990.3666666666667,1861.575
1997-05,686.1290322580645,1817.1447
1997-06,397.6,1727.7424
1997-07,634.1935483870968,2421.3572
1997-08,590.1290322580645,2271.149
1997-09,322.7,1714.9739
1997-10,347.51612903225805,1333.2501
1997-11,327.4,1300.3303
1997-12,481.51612903225805,1566.894
1998-01,685.1290322580645,2048.9087
1998-02,528.7142857142857,1760.0013
1998-03,856.0,1985.3558
1998-04,678.7666666666667,1981.0597
1998-05,388.5806451612903,1570.5286
1998-06,317.93333333333334,1622.2544
1998-07,323.61290322580646,1635.7122
1998-08,283.93548387096774,1634.9966
1998-09,491.7,2192.1052
1998-10,642.4516129032259,2109.3147
1998-11,1598.2333333333333,4075.858
1998-12,943.1290322580645,2757.77
1999-01,917.9677419354839,1984.2596
1999-02,1157.75,2140.5269
1999-03,1896.774193548387,2602.302
1999-04,991.7333333333333,2002.1454
1999-05,587.3225806451613,1771.7673
1999-06,466.8,1926.7148
1999-07,463.38709677419354,1836.2415
1999-08,274.7096774193548,1279.9083
1999-09,245.66666666666666,1161.0077
1999-10,285.35483870967744,1071.3225
1999-11,326.03333333333336,1246.5801
1999-12,420.16129032258067,1358.375
2000-01,511.2903225806452,1752.869
2000-02,1123.9655172413793,2263.4712
2000-03,1791.9354838709678,3188.7166
2000-04,1519.2666666666667,3486.6396
2000-05,522.1935483870968,1850.6917
2000-06,331.6666666666667,1419.5066
2000-07,275.741935483871,1432.9635
2000-08,311.258064516129,1634.9727
2000-09,304.5,1629.2072
2000-10,342.96774193548384,1511.942
2000-11,326.1333333333333,1335.1547
2000-12,341.258064516129,1313.3052
2001-01,402.35483870967744,1566.8467
2001-02,586.5357142857143,1849.9502
2001-03,750.8387096774194,1930.848
2001-04,1097.2666666666667,2366.6038
2001-05,636.483870967742,2020.4391
2001-06,417.3666666666667,1746.5095
2001-07,389.4516129032258,2146.3809
2001-08,390.7096774193548,1908.0912
2001-09,614.8,2492.3696
2001-10,613.741935483871,2716.3098
2001-11,539.1666666666666,1972.5587
2001-12,823.7741935483871,2054.5037
2002-01,794.9354838709677,2301.633
2002-02,1880.7142857142858,2466.44
2002-03,1721.2903225806451,3062.917
2002-04,1073.7,2235.5757
2002-05,751.2258064516129,2268.8613
2002-06,523.3666666666667,2218.7065
2002-07,459.35483870967744,2337.288
2002-08,1552.516129032258,4352.132
2002-09,985.9666666666667,2706.0
2002-10,832.1290322580645,1919.9979
2002-11,1576.3333333333333,2786.81
2002-12,1453.6774193548388,2637.2947
2003-01,2131.2903225806454,3298.3247
2003-02,1249.142857142857,2250.468
2003-03,1036.1935483870968,1819.8073
2003-04,703.0333333333333,1506.3911
2003-05,520.8709677419355,1379.308
2003-06,346.3666666666667,1094.0807
2003-07,242.32258064516128,1016.2001
2003-08,199.09677419354838,895.14154
2003-09,211.16666666666666,920.364
2003-10,258.0967741935484,1015.35004
2003-11,269.3,785.2652
2003-12,329.93548387096774,1096.7709
2004-01,462.51612903225805,1686.626
2004-02,953.7586206896551,2416.2385
2004-03,669.4516129032259,1897.9034
2004-04,735.0,1605.6661
2004-05,564.9354838709677,1720.5743
2004-06,515.3666666666667,1657.5747
2004-07,356.51612903225805,1766.4188
2004-08,254.70967741935485,1522.2092
2004-09,233.53333333333333,1131.5183
2004-10,293.93548387096774,1156.2504
2004-11,461.76666666666665,1571.8319
2004-12,628.9677419354839,1709.3508
2005-01,789.3870967741935,1970.7649
2005-02,1139.75,2491.3633
2005-03,1228.8064516129032,2284.7908
2005-04,1150.7666666666667,1774.4835
2005-05,622.1290322580645,1652.2164
2005-06,421.9,1507.592
2005-07,420.48387096774195,2005.7686
2005-08,484.741935483871,2274.3125
2005-09,500.1666666666667,1687.6117
2005-10,439.48387096774195,1452.7625
2005-11,359.9,1270.1543
2005-12,438.8709677419355,1506.1366
2006-01,522.3225806451613,1715.9454
2006-02,657.0714285714286,1840.7969
2006-03,797.4516129032259,1825.5627
2006-04,2384.6666666666665,2651.5923
2006-05,959.6129032258065,1978.3086
2006-06,771.3666666666667,2024.643
2006-07,458.7096774193548,1482.6173
2006-08,438.51612903225805,1653.025
2006-09,359.1333333333333,1349.9862
2006-10,301.5483870967742,1102.2976
2006-11,425.8666666666667,1357.6671
2006-12,381.51612903225805,1338.4382
2007-01,618.2903225806451,1827.389
2007-02,972.1071428571429,2698.1873
2007-03,1007.9032258064516,2572.62
2007-04,609.9,1951.2277
2007-05,359.258064516129,1563.4036
2007-06,432.93333333333334,2223.52
2007-07,450.38709677419354,2286.255
2007-08,486.83870967741933,2227.2908
2007-09,520.4666666666667,1962.182
2007-10,737.516129032258,2178.3672
2007-11,884.9,1983.9806
2007-12,1303.967741935484,2225.187
2008-01,871.3870967741935,2013.5281
2008-02,1177.2068965517242,2474.9636
2008-03,1145.6129032258063,2326.0437
2008-04,1322.3333333333333,2535.5112
2008-05,743.2258064516129,2207.3035
2008-06,393.6333333333333,1551.6587
2008-07,295.2903225806452,1581.6903
2008-08,248.41935483870967,1446.8232
2008-09,254.13333333333333,1348.2897
2008-10,323.4193548387097,1299.8336
2008-11,431.43333333333334,1698.7909
2008-12,544.3225806451613,1704.1102
2009-01,468.741935483871,1638.1624
2009-02,499.75,1585.0065
2009-03,1576.0,2324.8154
2009-04,1074.7666666666667,2135.5652
2009-05,517.2903225806451,1603.7786
2009-06,434.5,1794.6527
2009-07,750.3548387096774,2211.759
2009-08,389.6774193548387,1922.3088
2009-09,258.06666666666666,1387.6107
2009-10,363.258064516129,1605.6016
2009-11,603.0333333333333,2136.2393
2009-12,681.741935483871,2392.743
2010-01,775.6451612903226,2157.0972
2010-02,589.25,1601.62
2010-03,1386.4516129032259,3183.2002
2010-04,1178.7333333333333,2129.4932
2010-05,753.4516129032259,1898.6241
2010-06,984.1333333333333,2175.1755
2010-07,393.4193548387097,1758.684
2010-08,1035.5483870967741,2671.4792
2010-09,921.5333333333333,3123.424
2010-10,1304.5806451612902,3657.3542
2010-11,1032.1,2401.4937
2010-12,1442.9032258064517,2703.186
2011-01,2306.7741935483873,3509.1116
2011-02,1758.9285714285713,2550.1003
2011-03,951.4193548387096,1773.6637
2011-04,773.2666666666667,1431.8478
2011-05,465.19354838709677,1163.5428
2011-06,364.26666666666665,1224.7606
2011-07,519.6774193548387,2009.1456
2011-08,731.6451612903226,2929.4946
2011-09,616.6333333333333,2117.3894
2011-10,543.0645161290323,1558.7211
2011-11,446.23333333333335,1149.65
2011-12,577.0645161290323,1357.289
2012-01,1250.483870967742,2392.4312
2012-02,1040.2413793103449,2473.9143
2012-03,1261.8387096774193,1878.5707
2012-04,674.0666666666667,1517.7622
2012-05,488.2903225806452,1277.1653
2012-06,347.23333333333335,1498.5405
2012-07,485.9032258064516,2280.105
2012-08,358.64516129032256,1710.8771
2012-09,310.03333333333336,1630.1345
2012-10,377.93548387096774,1418.5896
2012-11,425.1666666666667,1468.8987
2012-12,616.0645161290323,2138.3835
2013-01,1364.2903225806451,2429.301
2013-02,1390.4642857142858,2607.9763
2013-03,1134.6129032258063,2209.13
2013-04,940.2666666666667,1809.245
2013-05,841.741935483871,1868.7366
2013-06,2389.6666666666665,3463.2761
2013-07,976.516129032258,2381.715
2013-08,468.5806451612903,2111.9116
2013-09,450.26666666666665,1790.3055
2013-10,575.1290322580645,1957.699
2013-11,629.6666666666666,2014.3217
2013-12,691.3225806451613,1927.3064
2014-01,649.5806451612904,1663.7018
2014-02,568.8214285714286,1520.4537
2014-03,436.38709677419354,1246.2076
2014-04,414.6333333333333,1194.1212
2014-05,380.80645161290323,1482.2659
2014-06,470.8333333333333,1800.8049
2014-07,335.2903225806452,2175.5334
2014-08,359.7096774193548,2177.181
2014-09,478.46666666666664,2142.7927
2014-10,568.8387096774194,1805.5852
2014-11,551.7666666666667,1615.4064
2014-12,497.16129032258067,1443.2079
2015-01,938.3225806451613,2243.3682
2015-02,766.2857142857143,2229.857
2015-03,550.0,1591.1746
2015-04,723.7,1739.2838
2015-05,474.8709677419355,1409.039
2015-06,285.1333333333333,1237.4468
2015-07,253.03225806451613,1095.8047
2015-08,233.8709677419355,1544.8304
2015-09,253.2,1219.4149
2015-10,303.0,1442.4927
2015-11,393.1666666666667,1675.0743
2015-12,637.483870967742,2222.2456
2016-01,517.0967741935484,1728.1282
2016-02,886.6896551724138,1981.8148
2016-03,897.6451612903226,2130.5837
2016-04,625.0666666666667,1797.131
2016-05,390.19354838709677,1559.0573
2016-06,426.96666666666664,1672.5449
2016-07,339.96774193548384,1699.6069
2016-08,333.6774193548387,1454.408
2016-09,239.8,1309.1595
2016-10,341.51612903225805,1203.7543
2016-11,423.3333333333333,1355.522
2016-12,453.93548387096774,1409.47
2017-01,501.83870967741933,1642.6941
2017-02,503.7857142857143,1568.2031
2017-03,992.4193548387096,1913.1962
2017-04,675.1,1778.7474
2017-05,575.5806451612904,1644.3268
2017-06,314.43333333333334,1317.5145
2017-07,427.0,2424.0205
2017-08,508.4516129032258,2916.4001
2017-09,355.6,1767.7446
2017-10,468.7741935483871,1837.9513
2017-11,709.9333333333333,2053.323
2017-12,878.0645161290323,2204.4407
2018-01,1122.3870967741937,2399.6113
2018-02,943.3928571428571,2107.4517
2018-03,634.3548387096774,1723.1627
2018-04,705.3,1689.6909
2018-05,393.03225806451616,1280.5547
2018-06,285.4,1019.128
2018-07,209.3548387096774,814.98456
2018-08,176.58064516129033,456.98935
2018-09,178.13333333333333,793.4916
2018-10,198.0,448.81995
2018-11,213.0,558.5246
2018-12,275.8709677419355,954.54767
2019-01,651.5483870967741,1536.2378
2019-02,658.3571428571429,1838.3845
2019-03,863.516129032258,1785.9188
2019-04,555.8,1464.2728
2019-05,360.0967741935484,1498.8772
2019-06,330.3333333333333,1465.5862
2019-07,186.90322580645162,983.82806
2019-08,175.7741935483871,1185.2997
2019-09,182.36666666666667,1030.2544
2019-10,289.3225806451613,1561.2065
2019-11,290.1333333333333,1419.737
2019-12,312.258064516129,1409.3345
