,Q$obs$ GRDC,Q$sim$ PCR-GLOBWB (1km)
1958-01,835.2258064516129,1647.818
1958-02,1041.7857142857142,1368.6238
1958-03,1342.9032258064517,1542.4567
1958-04,1253.6,1491.0828
1958-05,1161.6451612903227,1484.4185
1958-06,736.0666666666667,1726.5181
1958-07,1404.5483870967741,2538.4429
1958-08,625.8387096774194,1909.0544
1958-09,469.26666666666665,894.457
1958-10,663.3870967741935,1453.262
1958-11,699.7333333333333,946.8886
1958-12,591.483870967742,1028.8572
1959-01,949.0967741935484,1357.2943
1959-02,651.3214285714286,883.04816
1959-03,739.1612903225806,912.33795
1959-04,558.9333333333333,984.2582
1959-05,611.8709677419355,1241.3925
1959-06,355.8666666666667,618.404
1959-07,337.9032258064516,1195.4094
1959-08,469.51612903225805,1454.6678
1959-09,305.6666666666667,264.15192
1959-10,240.83870967741936,260.67645
1959-11,339.8333333333333,915.7321
1959-12,317.16129032258067,507.31277
1960-01,499.2258064516129,1113.6892
1960-02,484.7931034482759,1013.46106
1960-03,854.5483870967741,1343.2008
1960-04,709.8666666666667,800.33
1960-05,444.4193548387097,984.684
1960-06,361.8333333333333,1171.7825
1960-07,342.3225806451613,1295.4952
1960-08,465.258064516129,1627.1058
1960-09,410.3,890.59204
1960-10,622.8709677419355,1486.003
1960-11,827.6,1360.7639
1960-12,983.7741935483871,1852.651
1961-01,805.1612903225806,1221.3912
1961-02,1372.0714285714287,1574.4592
1961-03,1159.516129032258,1193.5497
1961-04,1207.3,1418.2218
1961-05,1021.8387096774194,1539.5736
1961-06,1474.9666666666667,2134.1494
1961-07,664.0,1453.9845
1961-08,520.0645161290323,1205.4034
1961-09,411.8333333333333,659.61127
1961-10,360.5806451612903,753.84247
1961-11,483.56666666666666,828.63434
1961-12,692.5806451612904,1354.0184
1962-01,637.2903225806451,1118.3657
1962-02,1001.5357142857143,1649.9636
1962-03,973.0645161290323,1216.4967
1962-04,1298.1,1331.7327
1962-05,912.7096774193549,1368.0963
1962-06,676.8333333333334,1139.5706
1962-07,491.8709677419355,1360.9072
1962-08,382.48387096774195,1420.7322
1962-09,376.2,1051.8641
1962-10,353.64516129032256,412.1119
1962-11,328.9,569.7043
1962-12,371.3225806451613,793.83276
1963-01,351.19354838709677,475.33914
1963-02,347.7142857142857,320.24985
1963-03,671.0645161290323,1159.2964
1963-04,667.2333333333333,1009.2978
1963-05,567.3548387096774,976.13196
1963-06,418.3,1412.1736
1963-07,374.1290322580645,837.45874
1963-08,230.38709677419354,1332.8689
1963-09,270.0,927.3855
1963-10,319.741935483871,765.2809
1963-11,403.6,890.99243
1963-12,421.19354838709677,727.54016
1964-01,306.5483870967742,519.1417
1964-02,480.2413793103448,776.63654
1964-03,378.61290322580646,598.40765
1964-04,665.0,916.20856
1964-05,511.35483870967744,1032.6431
1964-06,299.6666666666667,1162.1018
1964-07,220.03225806451613,970.08795
1964-08,276.83870967741933,1526.826
1964-09,275.8666666666667,599.05084
1964-10,336.4193548387097,994.62476
1964-11,519.1333333333333,741.086
1964-12,561.4516129032259,932.2798
1965-01,629.8709677419355,1265.0781
1965-02,656.6428571428571,1017.3333
1965-03,902.8709677419355,1417.7604
1965-04,1751.0,1636.0214
1965-05,1853.8709677419354,2154.708
1965-06,1872.6666666666667,2084.1
1965-07,884.8387096774194,1718.0472
1965-08,610.4516129032259,1216.697
1965-09,461.8,1650.4492
1965-10,462.5806451612903,790.94196
1965-11,426.6,742.4257
1965-12,993.5483870967741,1579.5894
1966-01,1155.1935483870968,1378.5833
1966-02,1469.1785714285713,1821.9094
1966-03,1342.258064516129,1496.2936
1966-04,1312.0,1800.8724
1966-05,952.3225806451613,1495.2018
1966-06,514.6333333333333,1464.8228
1966-07,1002.4516129032259,2322.414
1966-08,926.0967741935484,2141.278
1966-09,966.5333333333333,1434.6107
1966-10,590.3870967741935,831.3616
1966-11,822.1,1106.2996
1966-12,1065.4193548387098,1414.9934
1967-01,1787.741935483871,1613.2089
1967-02,1683.9285714285713,1666.7965
1967-03,1572.258064516129,1807.6365
1967-04,1319.9666666666667,1462.0485
1967-05,925.0967741935484,1534.1659
1967-06,996.6,2226.2864
1967-07,646.3548387096774,1308.9318
1967-08,460.258064516129,1263.9321
1967-09,630.3,1502.2515
1967-10,588.258064516129,1143.843
1967-11,504.1666666666667,793.3731
1967-12,664.8709677419355,1212.3318
1968-01,1425.2903225806451,1561.7892
1968-02,1324.1379310344828,1244.8494
1968-03,1175.1612903225807,1331.4354
1968-04,1170.2333333333333,989.2258
1968-05,808.6774193548387,1321.8433
1968-06,648.3,1442.793
1968-07,412.6774193548387,1143.5896
1968-08,341.9032258064516,766.9208
1968-09,502.2,1351.773
1968-10,817.2258064516129,1258.9868
1968-11,775.1333333333333,1370.2137
1968-12,642.258064516129,1062.1525
1969-01,644.5806451612904,1115.3884
1969-02,871.3928571428571,1089.9686
1969-03,1064.0967741935483,1245.872
1969-04,1468.6666666666667,1252.5507
1969-05,1379.3548387096773,1577.6222
1969-06,840.0666666666667,1905.9495
1969-07,653.2903225806451,1063.2191
1969-08,336.51612903225805,841.4565
1969-09,398.8666666666667,994.3011
1969-10,345.5483870967742,301.8265
1969-11,395.56666666666666,798.04504
1969-12,420.7741935483871,422.1152
1970-01,406.61290322580646,385.75433
1970-02,606.75,1036.8309
1970-03,1244.5806451612902,1480.0256
1970-04,2150.3333333333335,1999.1691
1970-05,1770.3225806451612,1582.9747
1970-06,901.9333333333333,1290.4426
1970-07,505.0,1255.1102
1970-08,568.7096774193549,1604.168
1970-09,558.7333333333333,954.1052
1970-10,538.7096774193549,1031.9202
1970-11,904.8666666666667,1267.257
1970-12,1038.032258064516,1245.2546
1971-01,664.3548387096774,1010.3026
1971-02,920.6071428571429,954.51904
1971-03,837.7096774193549,1056.3325
1971-04,811.2,917.4134
1971-05,564.1935483870968,1085.1436
1971-06,882.2333333333333,1811.4019
1971-07,728.2258064516129,1089.168
1971-08,300.38709677419354,907.8035
1971-09,291.8666666666667,721.50433
1971-10,341.5483870967742,892.2046
1971-11,359.2,652.4345
1971-12,575.6129032258065,808.0586
1972-01,520.6451612903226,598.8416
1972-02,434.0344827586207,678.4622
1972-03,420.4193548387097,638.5369
1972-04,534.0666666666667,986.40424
1972-05,576.516129032258,1289.7245
1972-06,678.1666666666666,1824.7556
1972-07,414.80645161290323,1183.7367
1972-08,497.7096774193548,1429.4169
1972-09,399.5,810.7156
1972-10,395.2258064516129,447.8329
1972-11,469.26666666666665,688.5784
1972-12,452.7741935483871,663.55493
1973-01,345.258064516129,483.6192
1973-02,469.0,832.83453
1973-03,589.0967741935484,893.85986
1973-04,749.9333333333333,1062.888
1973-05,742.8709677419355,1045.1294
1973-06,439.1666666666667,913.9739
1973-07,306.51612903225805,1220.4086
1973-08,338.48387096774195,732.4794
1973-09,241.73333333333332,532.00134
1973-10,298.83870967741933,750.76904
1973-11,371.0,547.1901
1973-12,491.4516129032258,960.0721
1974-01,696.4516129032259,963.3783
1974-02,857.6071428571429,1055.7733
1974-03,693.6451612903226,991.29083
1974-04,490.26666666666665,560.6109
1974-05,440.258064516129,800.503
1974-06,538.5,1119.0497
1974-07,623.0322580645161,1505.7235
1974-08,498.4193548387097,1026.2108
1974-09,367.76666666666665,869.82776
1974-10,487.06451612903226,1188.4219
1974-11,1207.8,1264.4487
1974-12,1907.8064516129032,2058.0295
1975-01,2052.2580645161293,1864.3182
1975-02,1147.107142857143,1588.4459
1975-03,813.8387096774194,1269.6187
1975-04,1057.4,1537.0592
1975-05,844.258064516129,1421.1404
1975-06,534.3666666666667,1275.6305
1975-07,693.0645161290323,1594.1436
1975-08,370.38709677419354,939.6314
1975-09,408.0,1028.6061
1975-10,385.48387096774195,764.37744
1975-11,401.7,544.0417
1975-12,479.96774193548384,647.19214
1976-01,1202.741935483871,1567.4335
1976-02,1263.7931034482758,1226.337
1976-03,742.3870967741935,907.5539
1976-04,666.9666666666667,803.32245
1976-05,414.2903225806452,821.0955
1976-06,360.56666666666666,987.5108
1976-07,200.16129032258064,511.39282
1976-08,197.06451612903226,634.1092
1976-09,218.93333333333334,480.4425
1976-10,291.3225806451613,831.49084
1976-11,347.23333333333335,587.97003
1976-12,476.4193548387097,704.8398
1977-01,402.19354838709677,708.3258
1977-02,849.8214285714286,1307.3634
1977-03,1022.7096774193549,1247.2346
1977-04,789.7333333333333,1357.2268
1977-05,649.8064516129032,1397.8135
1977-06,508.46666666666664,1385.7495
1977-07,435.19354838709677,1086.67
1977-08,823.8709677419355,1880.6357
1977-09,1093.6666666666667,1453.0999
1977-10,622.258064516129,1020.45746
1977-11,891.8,1226.6298
1977-12,836.0645161290323,1041.77
1978-01,861.3548387096774,1160.2296
1978-02,661.2857142857143,1036.6151
1978-03,995.0967741935484,1206.0511
1978-04,854.0666666666667,983.1609
1978-05,975.3870967741935,1408.8657
1978-06,609.6333333333333,860.9613
1978-07,466.258064516129,856.84454
1978-08,580.8387096774194,1601.1239
1978-09,594.6666666666666,1194.9878
1978-10,851.0322580645161,1336.4135
1978-11,623.2333333333333,701.90234
1978-12,656.6774193548387,848.25854
1979-01,973.9354838709677,1101.043
1979-02,735.6071428571429,827.4169
1979-03,1762.9354838709678,1755.7589
1979-04,1954.6666666666667,1749.4587
1979-05,1105.5483870967741,1354.911
1979-06,666.0,1386.4042
1979-07,586.4516129032259,966.8249
1979-08,484.64516129032256,1254.2074
1979-09,415.73333333333335,1001.545
1979-10,596.5483870967741,940.9905
1979-11,608.9666666666667,1175.9583
1979-12,1143.8064516129032,1582.26
1980-01,924.8064516129032,1181.9075
1980-02,1559.1379310344828,1644.6163
1980-03,1031.5483870967741,1176.1045
1980-04,1188.7,1340.0641
1980-05,1508.967741935484,1269.0721
1980-06,683.6666666666666,1447.7496
1980-07,1141.1935483870968,1787.9236
1980-08,1056.3225806451612,1410.8696
1980-09,567.3666666666667,1189.2745
1980-10,688.8709677419355,1363.4436
1980-11,754.7333333333333,1107.0842
1980-12,859.7096774193549,1332.7568
1981-01,1107.5806451612902,1392.2312
1981-02,1253.9285714285713,1334.8529
1981-03,1806.1290322580646,1760.2307
1981-04,1255.9,1279.0132
1981-05,878.3548387096774,1319.9808
1981-06,704.9,1347.4563
1981-07,645.6451612903226,1673.4597
1981-08,1151.516129032258,1776.0349
1981-09,636.2,913.00183
1981-10,893.8064516129032,1419.0902
1981-11,1492.6666666666667,1596.3112
1981-12,1740.967741935484,1778.9133
1982-01,1856.1290322580646,1774.4165
1982-02,1447.5,1579.9178
1982-03,1207.0967741935483,1316.1376
1982-04,1140.2333333333333,965.34045
1982-05,844.1612903225806,1136.0273
1982-06,490.3,879.6734
1982-07,394.16129032258067,997.4529
1982-08,321.48387096774195,731.75397
1982-09,293.93333333333334,498.85074
1982-10,330.9032258064516,585.6844
1982-11,364.26666666666665,442.63617
1982-12,421.7741935483871,657.54755
1983-01,674.258064516129,879.8715
1983-02,924.25,1028.8689
1983-03,847.9354838709677,1050.3353
1983-04,1314.7666666666667,1529.1029
1983-05,1008.483870967742,1801.4878
1983-06,577.1333333333333,1415.7426
1983-07,316.7741935483871,920.16266
1983-08,517.7741935483871,1452.4293
1983-09,332.9,716.4942
1983-10,349.6774193548387,445.31894
1983-11,335.46666666666664,208.40898
1983-12,424.19354838709677,743.39545
1984-01,604.1290322580645,1001.59656
1984-02,718.1724137931035,1212.0476
1984-03,603.7096774193549,801.9436
1984-04,773.6,1139.329
1984-05,624.6774193548387,867.646
1984-06,780.5666666666667,1341.6217
1984-07,485.741935483871,1254.6399
1984-08,496.258064516129,1040.8767
1984-09,463.1,1035.4153
1984-10,613.2258064516129,941.43494
1984-11,474.23333333333335,764.4354
1984-12,581.0322580645161,994.0978
1985-01,512.5806451612904,784.4446
1985-02,805.5714285714286,1066.4456
1985-03,727.9677419354839,934.0521
