,lwe_thickness,total_thickness_of_water_storage
1958-01-31,,6.91621767241304
1958-02-28,,10.04512392241304
1958-03-31,,12.68965517241304
1958-04-30,,14.02559267241304
1958-05-31,,10.88887392241304
1958-06-30,,5.95918642241304
1958-07-31,,4.51387392241304
1958-08-31,,0.9279364224130404
1958-09-30,,1.3185614224130404
1958-10-31,,1.9279364224130404
1958-11-30,,2.9865301724130404
1958-12-31,,3.7404364224130404
1959-01-31,,7.90840517241304
1959-02-28,,8.34981142241304
1959-03-31,,8.20528017241304
1959-04-30,,6.42403017241304
1959-05-31,,2.2091864224130404
1959-06-30,,-2.6150323275869596
1959-07-31,,-7.75565732758696
1959-08-31,,-9.41971982758696
1959-09-30,,-11.07206357758696
1959-10-31,,-10.51737607758696
1959-11-30,,-7.88065732758696
1959-12-31,,-5.44706357758696
1960-01-31,,-1.3376885775869596
1960-02-29,,1.0294989224130404
1960-03-31,,1.7794989224130404
1960-04-30,,-0.7986260775869596
1960-05-31,,-2.5798760775869596
1960-06-30,,-6.61893857758696
1960-07-31,,-7.66581357758696
1960-08-31,,-8.49003232758696
1960-09-30,,-8.50956357758696
1960-10-31,,-5.41190732758696
1960-11-30,,0.2521551724130404
1960-12-31,,3.7326239224130404
1961-01-31,,7.42793642241304
1961-02-28,,8.55293642241304
1961-03-31,,8.45137392241304
1961-04-30,,7.92403017241304
1961-05-31,,6.10371767241304
1961-06-30,,3.5490301724130404
1961-07-31,,-1.7400323275869596
1961-08-31,,-3.9665948275869596
1961-09-30,,-5.01737607758696
1961-10-31,,-5.93925107758696
1961-11-30,,-5.02518857758696
1961-12-31,,-1.6970635775869596
1962-01-31,,0.5568426724130404
1962-02-28,,2.5568426724130404
1962-03-31,,5.70918642241304
1962-04-30,,5.58809267241304
1962-05-31,,4.07246767241304
1962-06-30,,3.5685614224130404
1962-07-31,,2.4240301724130404
1962-08-31,,0.3459051724130404
1962-09-30,,-0.2986260775869596
1962-10-31,,-1.6423760775869596
1962-11-30,,-0.6462823275869596
1962-12-31,,2.3380926724130404
1963-01-31,,5.34981142241304
1963-02-28,,7.64668642241304
1963-03-31,,8.91231142241304
1963-04-30,,8.32637392241304
1963-05-31,,2.9123114224130404
1963-06-30,,-0.7244073275869596
1963-07-31,,-4.66190732758696
1963-08-31,,-7.98221982758696
1963-09-30,,-9.46268857758696
1963-10-31,,-9.51346982758696
1963-11-30,,-7.65018857758696
1963-12-31,,-4.66581357758696
1964-01-31,,-3.2908135775869596
1964-02-29,,-1.2205010775869596
1964-03-31,,1.4669989224130404
1964-04-30,,2.9630926724130404
1964-05-31,,0.7326239224130404
1964-06-30,,-3.9783135775869596
1964-07-31,,-5.66971982758696
1964-08-31,,-6.04862607758696
1964-09-30,,-7.31815732758696
1964-10-31,,-7.34550107758696
1964-11-30,,-6.66971982758696
1964-12-31,,-2.0525323275869596
1965-01-31,,1.0607489224130404
1965-02-28,,3.1623114224130404
1965-03-31,,5.17012392241304
1965-04-30,,3.8693426724130404
1965-05-31,,2.6154364224130404
1965-06-30,,0.4982489224130404
1965-07-31,,-1.0720635775869596
1965-08-31,,-2.3962823275869596
1965-09-30,,-2.8181573275869596
1965-10-31,,-5.05643857758696
1965-11-30,,-3.1228448275869596
1965-12-31,,2.2677801724130404
1966-01-31,,8.68965517241304
1966-02-28,,13.20137392241304
1966-03-31,,15.02168642241304
1966-04-30,,15.68184267241304
1966-05-31,,9.63106142241304
1966-06-30,,5.31465517241304
1966-07-31,,1.9201239224130404
1966-08-31,,-1.0837823275869596
1966-09-30,,-3.9001885775869596
1966-10-31,,-5.69315732758696
1966-11-30,,-1.7908135775869596
1966-12-31,,4.07246767241304
1967-01-31,,10.02168642241304
1967-02-28,,12.35762392241304
1967-03-31,,13.47871767241304
1967-04-30,,14.93184267241304
1967-05-31,,10.30293642241304
1967-06-30,,6.55684267241304
1967-07-31,,1.0099676724130404
1967-08-31,,-2.3259698275869596
1967-09-30,,-4.59550107758696
1967-10-31,,-5.76346982758696
1967-11-30,,-4.51346982758696
1967-12-31,,1.0412176724130404
1968-01-31,,5.88106142241304
1968-02-29,,8.73653017241304
1968-03-31,,10.68184267241304
1968-04-30,,8.54121767241304
1968-05-31,,4.45918642241304
1968-06-30,,-0.9275323275869596
1968-07-31,,-3.4665948275869596
1968-08-31,,-3.7908135775869596
1968-09-30,,-5.49003232758696
1968-10-31,,-0.9314385775869596
1968-11-30,,-0.3689385775869596
1968-12-31,,0.4669989224130404
1969-01-31,,2.4748114224130404
1969-02-28,,4.45528017241304
1969-03-31,,5.32246767241304
1969-04-30,,5.35762392241304
1969-05-31,,2.8419989224130404
1969-06-30,,1.4748114224130404
1969-07-31,,0.7404364224130404
1969-08-31,,-1.5447198275869596
1969-09-30,,-3.6775323275869596
1969-10-31,,-4.49393857758696
1969-11-30,,-1.7048760775869596
1969-12-31,,3.9826239224130404
1970-01-31,,8.39668642241304
1970-02-28,,11.76387392241304
1970-03-31,,13.90449892241304
1970-04-30,,14.71309267241304
1970-05-31,,11.35371767241304
1970-06-30,,7.99434267241304
1970-07-31,,2.7873114224130404
1970-08-31,,0.5646551724130404
1970-09-30,,-0.6306573275869596
1970-10-31,,1.3771551724130404
1970-11-30,,5.72871767241304
1970-12-31,,7.48262392241304
1971-01-31,,10.52168642241304
1971-02-28,,10.77949892241304
1971-03-31,,13.32637392241304
1971-04-30,,10.38887392241304
1971-05-31,,6.69356142241304
1971-06-30,,2.5060614224130404
1971-07-31,,2.6818426724130404
1971-08-31,,-3.4275323275869596
1971-09-30,,-2.4040948275869596
1971-10-31,,-0.4626885775869596
1971-11-30,,1.4162176724130404
1971-12-31,,4.74043642241304
1972-01-31,,5.48262392241304
1972-02-29,,5.22090517241304
1972-03-31,,3.9513739224130404
1972-04-30,,2.8459051724130404
1972-05-31,,-0.3611260775869596
1972-06-30,,-3.9665948275869596
1972-07-31,,-2.7908135775869596
1972-08-31,,-7.14628232758696
1972-09-30,,-9.03690732758696
1972-10-31,,-6.29081357758696
1972-11-30,,-2.3689385775869596
1972-12-31,,-0.6697198275869596
1973-01-31,,-1.0330010775869596
1973-02-28,,0.7326239224130404
1973-03-31,,3.9748114224130404
1973-04-30,,2.3615301724130404
1973-05-31,,1.1193426724130404
1973-06-30,,-0.3181573275869596
1973-07-31,,-1.6970635775869596
1973-08-31,,-3.1697198275869596
1973-09-30,,-5.39237607758696
1973-10-31,,-4.70096982758696
1973-11-30,,-2.0915948275869596
1973-12-31,,1.7834051724130404
1974-01-31,,2.5373114224130404
1974-02-28,,3.0060614224130404
1974-03-31,,1.7404364224130404
1974-04-30,,-1.3181573275869596
1974-05-31,,-3.0876885775869596
1974-06-30,,-3.3767510775869596
1974-07-31,,-0.5564385775869596
1974-08-31,,-2.5798760775869596
1974-09-30,,-6.35721982758696
1974-10-31,,-5.20096982758696
1974-11-30,,-1.0642510775869596
1974-12-31,,2.8029364224130404
1975-01-31,,5.22871767241304
1975-02-28,,5.41231142241304
1975-03-31,,4.20528017241304
1975-04-30,,4.27559267241304
1975-05-31,,0.24434267241304042
1975-06-30,,-1.0603448275869596
1975-07-31,,-5.32987607758696
1975-08-31,,-7.29081357758696
1975-09-30,,-10.27518857758696
1975-10-31,,-11.32987607758696
1975-11-30,,-11.50175107758696
1975-12-31,,-9.32596982758696
1976-01-31,,-5.68925107758696
1976-02-29,,-4.09550107758696
1976-03-31,,-2.1345635775869596
1976-04-30,,-1.7673760775869596
1976-05-31,,-3.7322198275869596
1976-06-30,,-6.06425107758696
1976-07-31,,-8.50565732758696
1976-08-31,,-8.76737607758696
1976-09-30,,-8.08768857758696
1976-10-31,,-7.64628232758696
1976-11-30,,-7.39628232758696
1976-12-31,,-4.08768857758696
1977-01-31,,-2.6384698275869596
1977-02-28,,1.1388739224130404
1977-03-31,,2.7130926724130404
1977-04-30,,2.9513739224130404
1977-05-31,,0.5177801724130404
1977-06-30,,-0.3650323275869596
1977-07-31,,-0.14237607758695958
1977-08-31,,0.13106142241304042
1977-09-30,,-0.6228448275869596
1977-10-31,,-1.9314385775869596
1977-11-30,,-0.20878232758695958
1977-12-31,,2.9201239224130404
1978-01-31,,4.11153017241304
1978-02-28,,6.27949892241304
1978-03-31,,8.05293642241304
1978-04-30,,7.23262392241304
1978-05-31,,6.02559267241304
1978-06-30,,2.6662176724130404
1978-07-31,,1.9044989224130404
1978-08-31,,-1.4783135775869596
1978-09-30,,-1.7361260775869596
1978-10-31,,-0.08768857758695958
1978-11-30,,-0.22831357758695958
1978-12-31,,1.3498114224130404
1979-01-31,,6.92793642241304
1979-02-28,,10.68184267241304
1979-03-31,,10.83418642241304
1979-04-30,,12.66621767241304
1979-05-31,,7.45528017241304
1979-06-30,,-1.0876885775869596
1979-07-31,,-3.3220635775869596
1979-08-31,,-4.13456357758696
1979-09-30,,-5.26346982758696
1979-10-31,,-6.14237607758696
1979-11-30,,-3.4705010775869596
1979-12-31,,-0.2986260775869596
1980-01-31,,2.9982489224130404
1980-02-29,,4.54903017241304
