,lwe_thickness,total_thickness_of_water_storage
1981-01-31,,14.434370683702582
1981-02-28,,18.211714433702582
1981-03-31,,20.692183183702582
1981-04-30,,19.657026933702582
1981-05-31,,15.196089433702582
1981-06-30,,4.434370683702582
1981-07-31,,-1.143754316297418
1981-08-31,,-7.561723066297418
1981-09-30,,-7.753129316297418
1981-10-31,,-5.706254316297418
1981-11-30,,1.438276933702582
1981-12-31,,8.141401933702582
1982-01-31,,14.106245683702582
1982-02-28,,15.539839433702582
1982-03-31,,16.258589433702582
1982-04-30,,15.614058183702582
1982-05-31,,13.438276933702582
1982-06-30,,6.426558183702582
1982-07-31,,7.348433183702582
1982-08-31,,2.785933183702582
1982-09-30,,-1.780473066297418
1982-10-31,,-2.866410566297418
1982-11-30,,-1.632035566297418
1982-12-31,,1.051558183702582
1983-01-31,,5.114058183702582
1983-02-28,,10.262495683702582
1983-03-31,,13.407026933702582
1983-04-30,,13.996870683702582
1983-05-31,,10.180464433702582
1983-06-30,,2.934370683702582
1983-07-31,,-2.522660566297418
1983-08-31,,-6.061723066297418
1983-09-30,,-11.413285566297418
1983-10-31,,-12.034379316297418
1983-11-30,,-11.175004316297418
1983-12-31,,-8.288285566297418
1984-01-31,,-4.171098066297418
1984-02-29,,-0.866410566297418
1984-03-31,,1.063276933702582
1984-04-30,,-0.643754316297418
1984-05-31,,-5.764848066297418
1984-06-30,,-7.284379316297418
1984-07-31,,-7.100785566297418
1984-08-31,,-11.214066816297418
1984-09-30,,-11.999223066297418
1984-10-31,,-8.389848066297418
1984-11-30,,-6.667191816297418
1984-12-31,,-3.132035566297418
1985-01-31,,1.387495683702582
1985-02-28,,5.688276933702582
1985-03-31,,6.680464433702582
1985-04-30,,5.864058183702582
1985-05-31,,1.891401933702582
1985-06-30,,-0.589066816297418
1985-07-31,,0.14140193370258203
1985-08-31,,-3.897660566297418
1985-09-30,,-4.530473066297418
1985-10-31,,-2.831254316297418
1985-11-30,,0.27421443370258203
1985-12-31,,4.293745683702582
1986-01-31,,9.621870683702582
1986-02-28,,12.449995683702582
1986-03-31,,13.074995683702582
1986-04-30,,11.129683183702582
1986-05-31,,4.864058183702582
1986-06-30,,-3.553910566297418
1986-07-31,,-7.526566816297418
1986-08-31,,-10.729691816297418
1986-09-30,,-10.440629316297418
1986-10-31,,-10.065629316297418
1986-11-30,,-7.655473066297418
1986-12-31,,-5.479691816297418
1987-01-31,,0.012495683702582028
1987-02-28,,3.051558183702582
1987-03-31,,5.875776933702582
1987-04-30,,6.461714433702582
1987-05-31,,4.407026933702582
1987-06-30,,2.137495683702582
1987-07-31,,-4.534379316297418
1987-08-31,,-5.698441816297418
1987-09-30,,-6.831254316297418
1987-10-31,,-7.038285566297418
1987-11-30,,-5.811723066297418
1987-12-31,,-1.690629316297418
1988-01-31,,2.047651933702582
1988-02-29,,3.903120683702582
1988-03-31,,7.606245683702582
1988-04-30,,9.141401933702582
1988-05-31,,4.418745683702582
1988-06-30,,2.399214433702582
1988-07-31,,0.602339433702582
1988-08-31,,-3.335160566297418
1988-09-30,,-3.112504316297418
1988-10-31,,-3.839066816297418
1988-11-30,,-2.440629316297418
1988-12-31,,2.867964433702582
1989-01-31,,7.164839433702582
1989-02-28,,8.449995683702582
1989-03-31,,11.004683183702582
1989-04-30,,10.633589433702582
1989-05-31,,5.586714433702582
1989-06-30,,-0.42109806629741797
1989-07-31,,-4.292191816297418
1989-08-31,,-8.237504316297418
1989-09-30,,-9.116410566297418
1989-10-31,,-7.241410566297418
1989-11-30,,-5.034379316297418
1989-12-31,,-0.971879316297418
1990-01-31,,2.446089433702582
1990-02-28,,5.883589433702582
1990-03-31,,8.535933183702582
1990-04-30,,6.926558183702582
1990-05-31,,2.055464433702582
1990-06-30,,-0.47187931629741797
