,Q$obs$ GRDC,Q$sim$ PCR-GLOBWB (1km)
1959-01,2409.516129032258,3726.721
1959-02,1868.9285714285713,3257.658
1959-03,2495.483870967742,3344.5544
1959-04,2037.3333333333333,4188.5894
1959-05,1718.0645161290322,3903.7073
1959-06,1402.5333333333333,3296.951
1959-07,513.3548387096774,2627.6812
1959-08,423.7741935483871,2586.647
1959-09,423.8666666666667,2153.1963
1959-10,696.741935483871,1750.6099
1959-11,1050.2666666666667,1539.9438
1959-12,1520.032258064516,1268.1675
1960-01,559.8709677419355,1496.4957
1960-02,803.7931034482758,1376.5981
1960-03,1373.5483870967741,1230.6372
1960-04,1450.0,1944.5356
1960-05,407.80645161290323,3358.127
1960-06,341.3333333333333,2726.6494
1960-07,498.4193548387097,2853.8262
1960-08,302.93548387096774,2836.9822
1960-09,250.33333333333334,2644.9592
1960-10,582.9032258064516,2890.6309
1960-11,684.0,3157.3933
1960-12,1440.3225806451612,3786.936
1961-01,2215.8064516129034,3205.442
1961-02,2162.1428571428573,1674.1923
1961-03,2209.3548387096776,2121.1582
1961-04,1089.6666666666667,3555.203
1961-05,903.1290322580645,4304.0605
1961-06,744.3333333333334,4505.9346
1961-07,790.7741935483871,3162.399
1961-08,1065.1612903225807,2736.1199
1961-09,426.6666666666667,2520.5417
1961-10,723.9677419354839,1920.3933
1961-11,879.6666666666666,1259.8224
1961-12,1078.7096774193549,1329.2656
1962-01,991.9354838709677,1201.3909
1962-02,1276.4285714285713,1325.7185
1962-03,1188.7096774193549,1700.2041
1962-04,1626.6666666666667,2490.8828
1962-05,1844.516129032258,3596.3142
1962-06,1790.0,4271.845
1962-07,1550.3225806451612,4074.0647
1962-08,1994.516129032258,3802.5557
1962-09,2003.3333333333333,3298.6187
1962-10,1151.9354838709678,2801.1528
1962-11,1283.3333333333333,2379.9011
1962-12,1500.6451612903227,2663.2307
1963-01,1866.774193548387,2504.0676
1963-02,2277.8571428571427,2364.4849
1963-03,2579.6774193548385,2176.9456
1963-04,1353.3333333333333,2726.0422
1963-05,2265.483870967742,3546.144
1963-06,1256.6666666666667,3084.8914
1963-07,833.7096774193549,2902.0583
1963-08,834.1612903225806,2400.9001
1963-09,786.6666666666666,2051.2673
1963-10,969.0322580645161,1743.5773
1963-11,958.6666666666666,1339.1664
1963-12,1254.1935483870968,1461.0448
1964-01,1216.774193548387,1094.2643
1964-02,638.1034482758621,672.1765
1964-03,779.0322580645161,711.50793
1964-04,1222.6666666666667,1891.3328
1964-05,549.9032258064516,2834.5972
1964-06,866.6666666666666,2769.857
1964-07,863.5483870967741,2741.3552
1964-08,711.0645161290323,2585.3647
1964-09,521.3333333333334,2438.2615
1964-10,683.9354838709677,2170.0825
1964-11,759.3333333333334,1907.4176
1964-12,1167.0967741935483,1830.7773
1965-01,1361.225806451613,1505.7501
1965-02,1257.25,1182.1239
1965-03,1184.0580645161292,1235.0778
1965-04,897.73,1538.4789
1965-05,470.51612903225805,2680.2078
1965-06,580.1666666666666,2840.007
1965-07,503.1290322580645,3279.4583
1965-08,731.1741935483872,2770.1287
1965-09,737.0333333333333,3136.4585
1965-10,977.483870967742,2460.0544
1965-11,1245.8,2114.6143
1965-12,938.1935483870968,2291.3938
1966-01,1670.9354838709678,2654.5337
1966-02,2207.5,2585.617
1966-03,2788.7096774193546,3422.5557
1966-04,5484.0,6694.8135
1966-05,2853.2258064516127,6017.3438
1966-06,1171.9333333333334,5289.447
1966-07,956.8387096774194,3938.2783
1966-08,646.3548387096774,3353.4995
1966-09,555.98,2917.2234
1966-10,580.7741935483871,2455.4812
1966-11,541.7266666666667,2076.3806
1966-12,784.8064516129032,2370.3042
1967-01,1804.4516129032259,2354.5596
1967-02,2193.5714285714284,1887.9807
1967-03,2832.5806451612902,1687.3494
1967-04,2190.0,4780.6396
1967-05,2947.0967741935483,6110.478
1967-06,1515.9666666666667,5226.853
1967-07,746.0645161290323,4206.8975
1967-08,556.9225806451612,3115.1687
1967-09,524.3666666666667,2783.852
1967-10,671.9032258064516,2445.4072
1967-11,1120.1333333333334,1910.1761
1967-12,1087.225806451613,1867.6477
1968-01,1600.032258064516,1712.852
1968-02,1890.0,1511.5026
1968-03,2048.6451612903224,1687.6205
1968-04,1131.1333333333334,2488.2764
1968-05,1525.1612903225807,3478.114
1968-06,861.7333333333333,3254.4124
1968-07,584.3225806451613,2888.2666
1968-08,480.7741935483871,2786.5322
1968-09,685.5333333333333,2557.2224
1968-10,895.3870967741935,2532.2764
1968-11,1322.0666666666666,2398.8164
1968-12,1301.483870967742,2202.6604
1969-01,1483.8709677419354,2021.7179
1969-02,1569.892857142857,1730.1543
1969-03,1927.8387096774193,1743.8296
1969-04,1335.6333333333334,1769.5587
1969-05,1218.0645161290322,2022.6079
1969-06,1834.7666666666667,2713.1453
1969-07,1045.774193548387,3609.424
1969-08,984.7096774193549,3199.124
1969-09,737.6333333333333,2662.7773
1969-10,608.8387096774194,2432.5986
1969-11,1533.0,2122.3716
1969-12,2000.3225806451612,2291.3838
1970-01,2054.8387096774195,2514.0564
1970-02,2527.5,2464.2065
1970-03,2807.4193548387098,2526.506
1970-04,5830.333333333333,4234.966
1970-05,7089.677419354839,6957.3936
1970-06,2863.7,6045.427
1970-07,921.3548387096774,4624.9326
1970-08,702.258064516129,4121.8276
1970-09,994.4,3481.8096
1970-10,1366.967741935484,3546.7056
1970-11,1687.8666666666666,3202.8264
1970-12,2320.6451612903224,3032.4817
1971-01,2745.1612903225805,3485.6665
1971-02,2156.4285714285716,3113.7285
1971-03,2681.6129032258063,3164.3472
1971-04,2779.3333333333335,3715.2256
1971-05,3051.6129032258063,4591.44
1971-06,1126.7333333333333,3895.3672
1971-07,1104.3548387096773,4392.1445
1971-08,887.7096774193549,3260.8787
1971-09,650.2333333333333,2971.0737
1971-10,901.0,2882.825
1971-11,1423.6333333333334,2614.4429
1971-12,1930.0,2533.367
1972-01,2340.967741935484,2297.9958
1972-02,1307.9310344827586,2158.8535
1972-03,448.5806451612903,2133.0613
1972-04,526.8333333333334,2165.7554
1972-05,732.0645161290323,2289.5044
1972-06,467.93333333333334,2164.29
1972-07,500.64516129032256,2485.9937
1972-08,433.9032258064516,2170.31
1972-09,547.6666666666666,2139.4905
1972-10,876.6774193548387,2225.9917
1972-11,883.0333333333333,2123.0562
1972-12,996.4516129032259,2071.006
1973-01,1290.7096774193549,1812.4377
1973-02,1150.4285714285713,1859.4276
1973-03,1129.6774193548388,2131.0173
1973-04,793.2333333333333,2054.0486
1973-05,939.2903225806451,2379.4817
1973-06,1234.1,2912.275
1973-07,648.9354838709677,2829.4868
1973-08,621.3548387096774,2972.7166
1973-09,952.8,2694.937
1973-10,1029.4193548387098,2532.6558
1973-11,896.7333333333333,2348.4326
1973-12,1354.4516129032259,2251.579
1974-01,1658.4516129032259,1983.3107
1974-02,1619.9285714285713,1784.246
1974-03,571.6774193548387,1706.0635
1974-04,573.9333333333333,1695.2911
1974-05,628.5806451612904,2007.6167
1974-06,725.7666666666667,2037.9515
1974-07,1572.9032258064517,2286.3997
1974-08,1293.6451612903227,2481.291
1974-09,728.9666666666667,2369.8545
1974-10,815.516129032258,2273.2656
1974-11,1660.8333333333333,2126.1924
1974-12,2299.3548387096776,2275.1243
1975-01,2694.516129032258,2602.4802
1975-02,2707.1428571428573,3018.7104
1975-03,1695.1612903225807,3093.501
1975-04,1020.8,3071.9812
1975-05,2431.2903225806454,3275.0696
1975-06,1070.3,3327.009
1975-07,767.8387096774194,3027.1343
1975-08,580.0645161290323,2625.839
1975-09,472.6,2419.5515
1975-10,555.2903225806451,2094.7817
1975-11,577.4666666666667,1544.5533
1975-12,823.8709677419355,1108.2688
1976-01,1080.516129032258,923.5373
1976-02,1429.1724137931035,699.3553
1976-03,1254.9870967741936,698.50977
1976-04,856.2666666666667,1267.8824
1976-05,954.7096774193549,1699.8368
1976-06,1220.8,2183.4917
1976-07,565.6129032258065,2341.4595
1976-08,550.9935483870968,2487.429
1976-09,516.2666666666667,2433.4836
1976-10,927.0322580645161,2205.3328
1976-11,947.5333333333333,1849.5667
1976-12,967.9032258064516,1840.4158
1977-01,1338.9032258064517,1473.6378
1977-02,1954.142857142857,1394.3837
1977-03,1789.3548387096773,1293.617
1977-04,1085.7666666666667,1403.6016
1977-05,1893.225806451613,1870.636
1977-06,1226.0,3169.728
1977-07,916.0967741935484,3694.2039
1977-08,919.6451612903226,3677.8806
1977-09,1264.9333333333334,3542.149
1977-10,1210.8709677419354,2974.2627
1977-11,1487.9,2679.7427
1977-12,2130.6451612903224,2583.8035
1978-01,1479.8387096774193,2364.7053
1978-02,1784.8214285714287,2338.2236
1978-03,2777.4193548387098,2404.184
1978-04,1953.6666666666667,2746.4773
