,Q$obs$ GRDC,Q$sim$ PCR-GLOBWB (1km)
1981-01,2269.3548387096776,839.488
1981-02,2570.714285714286,1286.0865
1981-03,2666.7741935483873,1948.458
1981-04,3843.0,3904.322
1981-05,3035.483870967742,4952.2964
1981-06,1310.2666666666667,4115.3325
1981-07,622.3870967741935,2887.4902
1981-08,536.0322580645161,2183.406
1981-09,588.1,1894.4832
1981-10,1118.6129032258063,1315.8743
1981-11,1999.3333333333333,872.8951
1981-12,2282.1290322580644,736.7729
1982-01,1915.5483870967741,841.354
1982-02,2177.8571428571427,1198.3123
1982-03,1835.3225806451612,1596.0374
1982-04,1122.4333333333334,1824.5779
1982-05,2831.2903225806454,2629.6997
1982-06,1535.6,3178.6375
1982-07,1660.3548387096773,2671.05
1982-08,1180.5483870967741,2135.537
1982-09,766.4333333333333,1954.6127
1982-10,1274.1612903225807,1740.2319
1982-11,1446.1333333333334,1316.8246
1982-12,1193.3870967741937,897.9664
1983-01,1242.8387096774193,658.2039
1983-02,1548.25,634.23645
1983-03,1759.8709677419354,869.7599
1983-04,2136.9666666666667,1701.6355
1983-05,2519.6774193548385,3552.412
1983-06,1055.4666666666667,3162.8508
1983-07,525.0322580645161,2400.4626
1983-08,551.483870967742,1995.3252
1983-09,521.2333333333333,1687.9789
1983-10,574.7741935483871,1067.5851
1983-11,677.8666666666667,535.0864
1983-12,839.4193548387096,266.7595
1984-01,629.0967741935484,159.98099
1984-02,1777.8275862068965,139.96146
1984-03,725.2903225806451,139.95578
1984-04,446.7,165.2807
1984-05,413.741935483871,203.19037
1984-06,382.7,217.28427
1984-07,499.38709677419354,218.28569
1984-08,558.2258064516129,207.15817
1984-09,661.5,197.90262
1984-10,708.4193548387096,189.36389
1984-11,970.6333333333333,194.44455
1984-12,1578.3225806451612,220.68826
1985-01,1766.0645161290322,270.3587
1985-02,1924.75,334.28375
1985-03,1820.3548387096773,382.48694
1985-04,912.4666666666667,443.08148
1985-05,1180.0,633.1347
1985-06,1585.1,982.3385
1985-07,1450.1935483870968,1093.3524
1985-08,1054.4516129032259,1124.9037
1985-09,428.6,1117.8468
1985-10,905.741935483871,1046.6017
1985-11,1702.9666666666667,932.75494
1985-12,1634.0645161290322,840.95184
1986-01,1728.032258064516,861.44867
1986-02,1916.0714285714287,1104.1761
1986-03,2242.0967741935483,1543.5275
1986-04,1954.1,1843.1691
1986-05,2180.3225806451615,2313.2705
1986-06,1312.2333333333333,2323.444
1986-07,631.6129032258065,1869.82
1986-08,409.6774193548387,1512.9304
1986-09,404.56666666666666,1116.4039
1986-10,771.5483870967741,641.71124
1986-11,909.3,379.6299
1986-12,1160.4516129032259,254.66315
1987-01,1650.7096774193549,201.95464
1987-02,1349.75,186.8599
1987-03,1327.8709677419354,184.14243
1987-04,451.1666666666667,187.7975
1987-05,1191.967741935484,314.66592
1987-06,1752.3333333333333,561.8803
1987-07,1159.6774193548388,845.45776
1987-08,636.0322580645161,907.6061
1987-09,814.4333333333333,868.96747
1987-10,1108.8064516129032,809.174
1987-11,1284.1333333333334,712.30505
1987-12,1147.0,606.84344
1988-01,678.483870967742,523.57306
1988-02,620.3793103448276,501.32507
1988-03,1374.5483870967741,623.44574
1988-04,2223.8,1083.9451
1988-05,2927.0967741935483,2023.3002
1988-06,1458.4333333333334,2112.4717
1988-07,1371.774193548387,1853.2561
1988-08,892.483870967742,1519.9496
1988-09,951.9,1315.1322
1988-10,1440.3870967741937,1203.4468
1988-11,1659.8666666666666,1063.6858
1988-12,1735.3870967741937,931.893
