,lwe_thickness,total_thickness_of_water_storage
1958-01-31,,3.98520984868901
1958-02-28,,3.46543445806401
1958-03-31,,2.03123035650151
1958-04-30,,0.54563465337651
1958-05-31,,-2.81459483881099
1958-06-30,,-4.18800792474849
1958-07-31,,-5.12880382318599
1958-08-31,,-6.59425792474849
1958-09-30,,-5.93605479974849
1958-10-31,,-5.86903819818599
1958-11-30,,-4.33766612787349
1958-12-31,,0.80259266118901
1959-01-31,,3.18235340337651
1959-02-28,,3.86277332525151
1959-03-31,,4.65806141118901
1959-04-30,,2.93296375493901
1959-05-31,,1.87571277837651
1959-06-30,,-1.00282726068599
1959-07-31,,-4.53249034662349
1959-08-31,,-5.75124034662349
1959-09-30,,-2.28395519037349
1959-10-31,,0.81711902837651
1959-11-30,,3.28208484868901
1959-12-31,,8.76230945806401
1960-01-31,,8.35776844243901
1960-02-29,,9.00168934087651
1960-03-31,,7.71812000493901
1960-04-30,,3.82444324712651
1960-05-31,,-0.21132335443599004
1960-06-30,,-1.41017589349849
1960-07-31,,-4.12099132318599
1960-08-31,,-4.37819347162349
1960-09-30,,-3.93483409662349
1960-10-31,,1.90171375493901
1960-11-30,,4.53867664556401
1960-12-31,,7.62278309087651
1961-01-31,,10.46030750493901
1961-02-28,,7.50352039556401
1961-03-31,,2.93540516118901
1961-04-30,,0.98936023931401
1961-05-31,,-1.10548839349849
1961-06-30,,-1.53737315912349
1961-07-31,,-4.31947765131099
1961-08-31,,-4.06728038568599
1961-09-30,,-3.60890636224849
1961-10-31,,-1.41554698724849
1961-11-30,,2.30613270025151
1961-12-31,,4.77353992681401
1962-01-31,,7.12583484868901
1962-02-28,,6.66746082525151
1962-03-31,,7.74961414556401
1962-04-30,,5.31956043462651
1962-05-31,,1.52268543462651
1962-06-30,,-0.81288585443599
1962-07-31,,-3.74953136224849
1962-08-31,,-5.39821300287349
1962-09-30,,-5.09499034662349
1962-10-31,,-1.39186534662349
1962-11-30,,1.45920887212651
1962-12-31,,2.22104969243901
1963-01-31,,5.68601551275151
1963-02-28,,6.94810047368901
1963-03-31,,5.02036609868901
