,lwe_thickness,total_thickness_of_water_storage
1981-01-31,,6.015517405974606
1981-02-28,,7.123305491912106
1981-03-31,,6.527297191130856
1981-04-30,,5.538100413787106
1981-05-31,,4.852004222380856
1981-06-30,,-0.26615984011914406
1981-07-31,,-2.342331715119144
1981-08-31,,-4.323593922150394
1981-09-30,,-5.025559254181644
1981-10-31,,-3.928391285431644
1981-11-30,,-5.035446949494144
1981-12-31,,-1.642929859650394
1982-01-31,,5.372206859099606
1982-02-28,,7.902968577849606
1982-03-31,,9.457778148162106
1982-04-30,,6.941481761443356
1982-05-31,,2.216017894255856
1982-06-30,,0.6798240465996059
1982-07-31,,-3.575913258087894
1982-08-31,,-3.504196949494144
1982-09-30,,-4.003281422150394
1982-10-31,,-2.013779469025394
1982-11-30,,3.657668284880856
1982-12-31,,6.944960765349606
1983-01-31,,7.209487132537106
1983-02-28,,6.049391917693356
1983-03-31,,5.356459788787106
1983-04-30,,4.474867991912106
1983-05-31,,2.863661937224606
1983-06-30,,-0.7670753674628941
1983-07-31,,-2.280747242462894
1983-08-31,,-2.160752125275394
1983-09-30,,-2.490891285431644
1983-10-31,,-5.176560230744144
1983-11-30,,-0.7714698987128941
1983-12-31,,2.965590648162106
1984-01-31,,5.341323070037106
1984-02-29,,7.689650706755856
1984-03-31,,8.777541331755856
1984-04-30,,8.354567698943356
1984-05-31,,7.216506175505856
1984-06-30,,5.830092601287106
1984-07-31,,-1.778733082306644
1984-08-31,,-4.600022144806644
1984-09-30,,-5.978745289337894
1984-10-31,,-4.454087086212894
1984-11-30,,2.793349437224606
1984-12-31,,6.202895335662106
1985-01-31,,7.728835277068356
1985-02-28,,9.091139964568356
1985-03-31,,8.506179027068356
1985-04-30,,6.247450999724606
1985-05-31,,5.944655589568356
1985-06-30,,2.772109202849606
1985-07-31,,-1.284958668244144
1985-08-31,,-4.683579273712894
1985-09-30,,-7.073838062775394
1985-10-31,,-7.530686207306644
1985-11-30,,-2.655442066681644
1985-12-31,,-0.5214698987128941
1986-01-31,,2.714980296599606
1986-02-28,,7.070082835662106
1986-03-31,,7.990737132537106
1986-04-30,,8.767653636443356
1986-05-31,,5.808486155974606
1986-06-30,,0.07301252316210594
1986-07-31,,-4.339951344025394
1986-08-31,,-6.629380054962894
1986-09-30,,-5.313828297150394
1986-10-31,,-1.163681812775394
1986-11-30,,-0.29368669558789406
1986-12-31,,2.002700023162106
1987-01-31,,5.892470530974606
1987-02-28,,9.648574046599606
1987-03-31,,8.507888011443356
1987-04-30,,7.674391917693356
1987-05-31,,2.336074046599606
1987-06-30,,-1.258896656525394
1987-07-31,,-2.999924488556644
1987-08-31,,-4.290268726837894
1987-09-30,,-5.417038746369144
1987-10-31,,1.993971995818356
1987-11-30,,6.185134105193356
1987-12-31,,9.952895335662106
1988-01-31,,12.123610667693356
1988-02-29,,14.963576488005856
1988-03-31,,11.589125804412106
1988-04-30,,14.087294749724606
1988-05-31,,13.406935863005856
1988-06-30,,9.848220042693356
1988-07-31,,5.384780101287106
1988-08-31,,-1.545273609650394
1988-09-30,,-4.716782398712894
1988-10-31,,-4.825119801056644
1988-11-30,,-3.514328785431644
1988-12-31,,-2.970017261994144
1989-01-31,,-3.138230152619144
1989-02-28,,-3.287278004181644
1989-03-31,,-1.565293140900394
1989-04-30,,1.550917796599606
1989-05-31,,-0.47514421511914406
1989-06-30,,-2.564682789337894
1989-07-31,,-6.279221363556644
1989-08-31,,-7.247849293244144
1989-09-30,,-6.996201344025394
1989-10-31,,-7.841172047150394
1989-11-30,,-5.382675953400394
1989-12-31,,-0.45298845340039406
1990-01-31,,2.803786448943356
1990-02-28,,3.000258616912106
1990-03-31,,-0.5179908948066441
1990-04-30,,-0.5154274182441441
1990-05-31,,-2.099594898712894
1990-06-30,,-2.547959156525394
1990-07-31,,-5.645432301056644
1990-08-31,,-7.738938160431644
1990-09-30,,-7.584091969025394
1990-10-31,,-5.083603687775394
1990-11-30,,-1.091538258087894
1990-12-31,,1.331130198943356
1991-01-31,,3.249587230193356
1991-02-28,,5.475295238005856
1991-03-31,,7.595961741912106
1991-04-30,,7.647231273162106
1991-05-31,,6.280715159880856
1991-06-30,,0.09602277706835594
1991-07-31,,-4.557358570587894
1991-08-31,,-7.431626148712894
1991-09-30,,-6.822129078400394
1991-10-31,,-5.538681812775394
1991-11-30,,-3.024643726837894
1991-12-31,,1.192763499724606
1992-01-31,,1.020278148162106
1992-02-29,,0.7331077380058559
1992-03-31,,-0.9389503674628941
1992-04-30,,-0.08274919558789406
1992-05-31,,-2.797837086212894
1992-06-30,,-1.580735035431644
1992-07-31,,-3.417893238556644
1992-08-31,,-5.760483570587894
1992-09-30,,-4.771103687775394
1992-10-31,,1.860549144255856
1992-11-30,,5.448012523162106
1992-12-31,,6.924636058318356
1993-01-31,,6.538222484099606
1993-02-28,,5.722060374724606
1993-03-31,,5.056960277068356
1993-04-30,,2.749098948943356
1993-05-31,,3.617385081755856
1993-06-30,,-0.08714372683789406
1993-07-31,,-3.438095875275394
1993-08-31,,-5.729904957306644
1993-09-30,,-5.152207203400394
1993-10-31,,-0.9396217541816441
1993-11-30,,1.935378245818356
1993-12-31,,2.594008616912106
1994-01-31,,6.722121409880856
1994-02-28,,7.303298167693356
1994-03-31,,5.158583812224606
1994-04-30,,3.573195628630856
1994-05-31,,1.167678050505856
1994-06-30,,-2.695664234650394
1994-07-31,,-6.231003590119144
1994-08-31,,-8.058396168244144
1994-09-30,,-7.596543140900394
1994-10-31,,-0.13127214480664406
1994-11-30,,4.945998363005856
1994-12-31,,4.486220530974606
1995-01-31,,7.691786937224606
1995-02-28,,7.729811839568356
1995-03-31,,7.228713206755856
1995-04-30,,1.520522288787106
1995-05-31,,-0.18431169558789406
1995-06-30,,-3.289048023712894
1995-07-31,,-5.942551441681644
1995-08-31,,-7.487168140900394
1995-09-30,,-7.315110035431644
1995-10-31,,-7.526596851837894
1995-11-30,,-6.872177906525394
1995-12-31,,-0.7467506604316441
1996-01-31,,6.925002269255856
1996-02-29,,12.701491527068356
1996-03-31,,11.130751780974606
1996-04-30,,7.466078929412106
