,Q$obs$ GRDC,Q$sim$ PCR-GLOBWB (1km)
1958-01,313.33225806451617,868.0632
1958-02,468.1857142857143,683.81995
1958-03,862.3935483870968,703.50323
1958-04,695.5766666666667,607.3747
1958-05,292.7806451612903,334.8114
1958-06,122.31666666666663,235.62794
1958-07,104.83870967741933,339.66656
1958-08,31.119354838709683,189.05345
1958-09,81.78333333333332,286.69733
1958-10,89.9741935483871,157.25284
1958-11,193.84,419.54044
1958-12,703.4612903225806,1631.0078
1959-01,711.3451612903226,723.6207
1959-02,438.3607142857143,752.5229
1959-03,802.0903225806453,1240.7562
1959-04,556.4399999999999,841.8738
1959-05,739.2516129032258,956.4193
1959-06,467.17,560.38654
1959-07,176.0258064516129,201.82323
1959-08,74.60967741935485,184.61842
1959-09,466.9433333333333,1437.6276
1959-10,655.7838709677421,1166.2406
1959-11,1086.4433333333334,1252.7836
1959-12,2171.174193548387,1991.2452
1960-01,1271.8516129032257,1273.1284
1960-02,1595.420689655172,1303.0717
1960-03,1406.964516129032,1293.0177
1960-04,749.16,641.9106
1960-05,612.1516129032257,550.2499
1960-06,707.4966666666667,694.06433
1960-07,350.62258064516135,298.18335
1960-08,205.4774193548387,337.4934
1960-09,161.16333333333336,399.05176
1960-10,1253.967741935484,1935.069
1960-11,1216.4333333333334,1281.7166
1960-12,1126.4193548387098,1162.5525
1961-01,1983.225806451613,1454.4232
1961-02,1129.2142857142858,947.4002
1961-03,465.03225806451616,475.63867
1961-04,311.73333333333335,684.8853
1961-05,312.0,543.31726
1961-06,450.3,623.86426
1961-07,122.51612903225806,109.48934
1961-08,92.90322580645162,350.27158
1961-09,135.3,364.71906
1961-10,424.19354838709677,910.8683
1961-11,1086.2666666666667,1539.8251
1961-12,1068.5483870967741,934.51825
1962-01,1124.8387096774193,1429.4602
1962-02,1055.892857142857,864.79803
1962-03,1342.9032258064517,1206.4845
1962-04,1050.2666666666667,1148.1852
1962-05,585.9032258064516,563.9259
1962-06,425.3333333333333,494.65546
1962-07,136.74193548387098,216.34479
1962-08,30.93548387096774,48.043106
1962-09,66.9,337.22772
1962-10,250.29032258064515,697.2532
1962-11,463.0,995.60114
1962-12,635.8387096774194,477.68253
1963-01,1026.6451612903227,1168.4044
1963-02,624.7857142857143,845.045
1963-03,767.5806451612904,763.53076
1963-04,965.2666666666667,1183.0339
1963-05,379.741935483871,352.82855
1963-06,455.1666666666667,743.9018
1963-07,284.64516129032256,363.16714
1963-08,461.03225806451616,764.0379
1963-09,413.1333333333333,977.18463
1963-10,263.96774193548384,172.1283
1963-11,709.1666666666666,851.92395
1963-12,903.5483870967741,791.0182
1964-01,349.3225806451613,278.85373
1964-02,562.6896551724138,892.2413
1964-03,840.741935483871,709.48474
1964-04,972.8,997.31934
1964-05,475.7741935483871,596.6747
1964-06,484.0,479.28348
1964-07,96.61290322580645,190.7373
1964-08,52.67741935483871,168.41777
1964-09,88.66666666666667,298.9638
1964-10,269.9258064516129,496.25845
1964-11,283.4433333333334,346.6167
1964-12,526.2548387096774,836.6489
1965-01,659.4741935483871,785.10846
1965-02,472.3392857142856,397.06412
1965-03,885.7935483870968,1064.8894
1965-04,426.01,483.52908
1965-05,207.81612903225806,476.07077
1965-06,111.47333333333336,268.31317
1965-07,102.43548387096777,109.11428
1965-08,50.41290322580645,139.80661
1965-09,107.2,422.2272
1965-10,658.4516129032259,1797.6509
1965-11,825.6333333333333,1226.6046
1965-12,866.8064516129032,1091.2565
1966-01,804.2903225806451,1161.1351
1966-02,946.9285714285714,1318.5459
1966-03,938.258064516129,822.1768
1966-04,504.5,956.10944
1966-05,627.0645161290323,703.02673
1966-06,617.2,572.0868
1966-07,174.80645161290323,116.37292
1966-08,80.35483870967742,173.78693
1966-09,140.0,131.86766
1966-10,255.25806451612902,1155.7798
1966-11,1044.8333333333333,1431.761
1966-12,890.1290322580645,590.5245
1967-01,518.1290322580645,236.8114
1967-02,472.07142857142856,270.70673
1967-03,654.4193548387096,342.23236
1967-04,658.4666666666667,548.3849
1967-05,268.9032258064516,409.51096
1967-06,213.93333333333334,158.9728
1967-07,127.51612903225806,37.685284
1967-08,93.25806451612904,59.459435
1967-09,97.36666666666666,93.437096
1967-10,138.1290322580645,281.0622
1967-11,789.7666666666667,2055.1184
1967-12,848.7741935483871,903.9462
1968-01,1085.1612903225807,657.21094
1968-02,556.5172413793103,660.9029
1968-03,561.0645161290323,700.7742
1968-04,618.9333333333333,850.0174
1968-05,369.64516129032256,910.66406
1968-06,415.73333333333335,549.0873
1968-07,156.48387096774192,157.24287
1968-08,135.3548387096774,522.8959
1968-09,251.66666666666666,268.84848
1968-10,254.7741935483871,95.77933
1968-11,285.43333333333334,525.7343
1968-12,435.1290322580645,1063.6841
1969-01,472.96774193548384,817.4307
1969-02,399.2857142857143,562.84064
1969-03,1157.6451612903227,1836.4893
1969-04,1357.4666666666667,1754.1946
1969-05,1001.258064516129,1639.2454
1969-06,565.5,954.7881
1969-07,317.7096774193548,460.09573
1969-08,174.6451612903226,213.03949
1969-09,251.5,602.86053
1969-10,323.0967741935484,725.8938
1969-11,343.5,484.10452
1969-12,547.2903225806451,616.344
1970-01,1244.9354838709678,1205.2067
1970-02,933.4285714285714,672.27734
1970-03,754.7096774193549,505.59613
1970-04,364.43333333333334,368.79254
1970-05,289.5483870967742,631.86865
1970-06,324.0,344.39938
1970-07,170.32258064516128,97.19252
1970-08,93.80645161290323,140.63437
1970-09,129.13333333333333,73.45387
1970-10,144.5661290322581,363.4999
1970-11,174.73166666666665,283.93088
1970-12,260.6499999999999,462.21982
1971-01,312.60161290322577,794.6665
1971-02,343.0482142857142,636.3788
1971-03,332.9129032258064,458.20197
1971-04,570.0866666666666,1029.0365
1971-05,1570.8741935483872,1760.6527
1971-06,973.1716666666669,1039.2667
1971-07,372.2645161290324,525.3288
1971-08,160.15322580645164,262.1794
1971-09,242.47500000000008,526.212
1971-10,285.0161290322581,356.03653
1971-11,375.72666666666674,468.46747
1971-12,542.391935483871,926.2442
1972-01,679.1661290322581,1126.2849
1972-02,1422.9499999999998,1347.3956
1972-03,1011.4596774193548,1082.3044
1972-04,733.9833333333333,729.1415
1972-05,668.5838709677421,997.54944
1972-06,691.6033333333331,1016.2975
1972-07,310.52741935483886,470.08878
1972-08,220.23387096774192,346.1768
1972-09,487.9233333333333,1151.2689
1972-10,513.4080645161291,896.00275
1972-11,479.51000000000005,1032.5153
1972-12,423.3016129032259,677.0228
1973-01,539.1387096774195,497.8225
