,Q$obs$ GRDC,Q$sim$ PCR-GLOBWB (1km)
1981-01,876.6935483870967,193.16699
1981-02,364.0410714285714,247.94914
1981-03,214.68387096774197,291.97162
1981-04,353.91333333333336,387.77402
1981-05,340.1693548387097,411.45065
1981-06,158.61666666666665,474.5462
1981-07,167.04354838709676,292.9896
1981-08,94.14516129032259,176.97638
1981-09,174.9533333333333,120.286285
1981-10,130.27741935483874,132.99092
1981-11,200.80666666666667,95.63815
1981-12,183.14516129032256,98.70542
1982-01,438.68387096774194,206.9516
1982-02,458.27321428571435,221.29703
1982-03,591.1645161290322,258.57968
1982-04,234.47833333333338,342.14496
1982-05,119.38064516129033,449.7301
1982-06,154.65333333333328,529.2487
1982-07,100.04516129032258,238.31914
1982-08,93.23870967741935,169.08488
1982-09,147.76000000000002,136.31514
1982-10,183.86612903225807,161.89268
1982-11,788.8033333333332,306.2331
1982-12,1034.6854838709676,227.69046
1983-01,638.0499999999998,247.05194
1983-02,445.4821428571427,207.91492
1983-03,510.20322580645166,224.50131
1983-04,568.5333333333333,257.48752
1983-05,321.78709677419346,388.2081
1983-06,178.23,407.37848
1983-07,209.0,241.56818
1983-08,137.4935483870968,149.92732
1983-09,280.91666666666674,146.17397
1983-10,213.30967741935478,83.76813
1983-11,263.47999999999996,138.20949
1983-12,279.7903225806451,121.06966
1984-01,318.7838709677419,149.81395
1984-02,514.9706896551724,206.85349
1984-03,415.6677419354839,217.11594
1984-04,419.23833333333334,364.03317
1984-05,593.0370967741936,449.2375
1984-06,572.7633333333332,616.13635
1984-07,203.6,363.29196
1984-08,,193.97978
1984-09,,113.89146
1984-10,248.44444444444446,121.593445
1984-11,666.1333333333333,243.18828
1984-12,533.3548387096774,232.30281
1985-01,558.1290322580645,191.96742
1985-02,612.7142857142857,266.845
1985-03,437.4193548387097,270.27448
1985-04,331.69666666666666,335.46112
1985-05,487.40967741935486,458.8126
1985-06,314.11999999999995,532.1779
1985-07,175.05161290322584,306.70932
1985-08,158.65555555555554,173.72595
1985-09,177.15,75.33126
1985-10,84.50967741935483,33.458973
1985-11,165.50666666666666,79.9034
1985-12,108.59999999999998,55.01005
1986-01,159.0806451612903,58.713543
1986-02,480.29464285714283,79.97435
1986-03,355.516129032258,170.31339
1986-04,423.56333333333333,245.43459
1986-05,407.1129032258064,556.672
1986-06,222.1,444.4066
1986-07,108.69032258064516,229.42299
1986-08,64.36129032258064,99.88092
1986-09,80.39666666666668,66.009384
1986-10,152.60967741935485,94.54264
1986-11,263.1433333333334,78.88813
1986-12,190.7161290322581,78.62678
1987-01,221.76451612903222,91.462105
1987-02,530.8589285714286,153.81705
1987-03,332.6612903225807,226.22623
1987-04,382.1966666666666,329.98923
1987-05,155.51290322580644,393.67566
1987-06,87.82,296.27045
1987-07,126.35161290322583,208.17517
1987-08,101.83548387096772,141.06642
1987-09,145.95999999999995,104.582466
1987-10,288.15806451612906,276.3812
1987-11,388.7733333333333,248.9572
1987-12,570.7435483870968,298.2151
1988-01,544.4999999999999,282.79715
1988-02,963.0034482758621,356.55716
1988-03,565.3838709677419,312.0143
1988-04,1070.8116666666667,436.8395
1988-05,758.6725806451612,784.85095
1988-06,729.8050000000001,574.1813
1988-07,534.0490322580646,488.7487
1988-08,239.15483870967745,259.8894
1988-09,251.14666666666668,146.68558
1988-10,228.90645161290317,88.86919
1988-11,275.69999999999993,61.774494
1988-12,225.05806451612904,37.8868
1989-01,182.24838709677422,25.88615
1989-02,118.88,19.576471
1989-03,79.98823529411763,55.804264
1989-04,118.25999999999999,138.95749
1989-05,211.58965517241376,267.75195
1989-06,76.33333333333333,219.4352
1989-07,125.32499999999997,90.296364
1989-08,86.47777777777779,45.44612
1989-09,75.9375,40.38397
1989-10,70.78064516129032,30.448856
1989-11,129.8466666666667,71.00697
1989-12,182.00645161290325,103.20675
1990-01,182.34516129032258,81.73621
1990-02,193.22499999999997,86.32815
1990-03,93.9225806451613,112.5691
1990-04,166.57666666666665,75.59621
1990-05,139.03870967741935,201.27461
1990-06,162.3066666666667,207.86592
1990-07,106.87096774193549,115.62402
1990-08,103.43870967741937,54.84887
1990-09,106.06666666666666,53.819313
1990-10,159.8903225806452,84.48372
1990-11,156.7,131.79329
1990-12,260.9161290322581,83.7064
1991-01,348.81935483870967,98.76315
1991-02,280.80000000000007,106.3205
1991-03,480.3193548387096,218.95052
1991-04,646.945,231.28893
1991-05,681.118387096774,230.21005
1991-06,150.21333333333328,379.0631
1991-07,129.83870967741936,167.0189
1991-08,165.48387096774192,65.74447
1991-09,128.58666666666664,41.944717
1991-10,96.16774193548386,49.756706
1991-11,165.95333333333335,54.45326
1991-12,271.1032258064515,89.96186
1992-01,145.58064516129033,54.663536
1992-02,123.55172413793103,31.450487
1992-03,98.44193548387098,39.431767
1992-04,430.7133333333333,89.73367
1992-05,177.89032258064515,255.30093
1992-06,304.30833333333334,263.26672
1992-07,218.8064516129032,205.18857
1992-08,123.0741935483871,106.361664
1992-09,145.79333333333335,86.83948
1992-10,628.75,224.12184
1992-11,793.3783333333336,271.69244
1992-12,774.7435483870968,203.11821
1993-01,289.0645161290322,205.58504
1993-02,166.66785714285717,156.24203
1993-03,223.2612903225806,125.839615
1993-04,208.15,164.29494
1993-05,318.524193548387,334.0153
1993-06,177.9933333333334,259.09305
1993-07,114.74193548387099,167.9761
1993-08,132.44516129032257,66.0001
1993-09,125.85333333333338,47.657852
1993-10,233.40967741935484,163.92961
1993-11,345.23333333333335,186.27457
1993-12,303.6193548387096,120.12198
1994-01,789.545806451613,142.61647
1994-02,494.5857142857141,176.35779
1994-03,270.39032258064515,249.51762
1994-04,305.72666666666663,238.73378
1994-05,208.4774193548387,399.63657
1994-06,134.71666666666667,261.87338
1994-07,82.3225806451613,114.04018
1994-08,89.25161290322579,32.547474
1994-09,83.81333333333332,32.069935
1994-10,200.22903225806448,110.06661
1994-11,435.4016666666666,175.30244
1994-12,210.74677419354836,94.25688
1995-01,716.8580645161289,93.58006
1995-02,349.93214285714294,137.06294
1995-03,602.8532258064516,167.32219
1995-04,120.88333333333334,218.73988
1995-05,95.71935483870965,279.98566
1995-06,68.40333333333335,212.32698
1995-07,69.21612903225807,105.6739
1995-08,69.50000000000001,54.374496
1995-09,65.80333333333334,69.27299
1995-10,68.72580645161294,53.806797
1995-11,81.01666666666667,45.195583
1995-12,142.93387096774197,102.18239
1996-01,785.0048387096773,253.92047
1996-02,906.5137931034482,243.86737
1996-03,557.1951612903225,160.64833
1996-04,323.6533333333334,253.99132
1996-05,394.0661290322581,430.95486
1996-06,268.64333333333326,399.72446
