,lwe_thickness,total_thickness_of_water_storage
1981-01-31,,18.80550547542225
1981-02-28,,17.47738047542225
1981-03-31,,18.33675547542225
1981-04-30,,13.594567975422251
1981-05-31,,9.969567975422251
1981-06-30,,6.633630475422251
1981-07-31,,4.813317975422251
1981-08-31,,6.250817975422251
1981-09-30,,3.961755475422251
1981-10-31,,7.735192975422251
1981-11-30,,12.102380475422251
1981-12-31,,16.62581797542225
1982-01-31,,16.46175547542225
1982-02-28,,14.899255475422251
1982-03-31,,13.188317975422251
1982-04-30,,10.188317975422251
1982-05-31,,7.055505475422251
1982-06-30,,1.539880475422251
1982-07-31,,-1.499182024577749
1982-08-31,,-5.467932024577749
1982-09-30,,-8.436682024577749
1982-10-31,,-8.311682024577749
1982-11-30,,-7.241369524577749
1982-12-31,,-3.944494524577749
1983-01-31,,0.961755475422251
1983-02-28,,5.672692975422251
1983-03-31,,6.086755475422251
1983-04-30,,9.453942975422251
1983-05-31,,8.618005475422251
1983-06-30,,3.641442975422251
1983-07-31,,-4.514807024577749
1983-08-31,,-5.491369524577749
1983-09-30,,-8.600744524577749
1983-10-31,,-8.835119524577749
1983-11-30,,-8.975744524577749
1983-12-31,,-4.585119524577749
1984-01-31,,0.23519297542225104
1984-02-29,,4.110192975422251
1984-03-31,,3.508630475422251
1984-04-30,,3.797692975422251
1984-05-31,,1.930505475422251
1984-06-30,,2.938317975422251
1984-07-31,,0.49300547542225104
1984-08-31,,-1.702307024577749
1984-09-30,,-1.733557024577749
1984-10-31,,0.30550547542225104
1984-11-30,,0.07113047542225104
1984-12-31,,2.094567975422251
1985-01-31,,3.555505475422251
1985-02-28,,5.766442975422251
1985-03-31,,5.352380475422251
1985-04-30,,5.907067975422251
1985-05-31,,3.797692975422251
1985-06-30,,0.703942975422251
1985-07-31,,-1.725744524577749
1985-08-31,,-2.530432024577749
1985-09-30,,-3.577307024577749
1985-10-31,,-5.608557024577749
1985-11-30,,-4.163244524577749
1985-12-31,,0.20394297542225104
1986-01-31,,5.563317975422251
1986-02-28,,6.930505475422251
1986-03-31,,6.469567975422251
1986-04-30,,7.524255475422251
1986-05-31,,4.219567975422251
1986-06-30,,4.836755475422251
1986-07-31,,-2.342932024577749
1986-08-31,,-4.421057024577749
1986-09-30,,-2.788244524577749
1986-10-31,,-3.413244524577749
1986-11-30,,-0.37418202457774896
1986-12-31,,1.360192975422251
1987-01-31,,11.578942975422251
1987-02-28,,12.094567975422251
1987-03-31,,12.610192975422251
1987-04-30,,11.258630475422251
1987-05-31,,8.227380475422251
1987-06-30,,7.805505475422251
1987-07-31,,5.469567975422251
1987-08-31,,6.047692975422251
1987-09-30,,4.930505475422251
1987-10-31,,3.508630475422251
1987-11-30,,4.407067975422251
1987-12-31,,6.860192975422251
1988-01-31,,8.899255475422251
1988-02-29,,11.063317975422251
1988-03-31,,15.344567975422251
1988-04-30,,13.375817975422251
1988-05-31,,4.321130475422251
1988-06-30,,1.008630475422251
1988-07-31,,-0.631994524577749
1988-08-31,,-3.827307024577749
1988-09-30,,-4.671057024577749
1988-10-31,,-4.835119524577749
1988-11-30,,-3.241369524577749
1988-12-31,,4.274255475422251
1989-01-31,,6.727380475422251
1989-02-28,,5.774255475422251
1989-03-31,,7.453942975422251
