,Q$obs$ GRDC,Q$sim$ PCR-GLOBWB (1km)
1981-01,1107.5806451612902,2744.6458
1981-02,1253.9285714285713,2575.0916
1981-03,1806.1290322580646,2775.4683
1981-04,1255.9,2692.1694
1981-05,878.3548387096774,1742.144
1981-06,704.9,1351.3995
1981-07,645.6451612903226,1198.5302
1981-08,1151.516129032258,1322.7329
1981-09,636.2,1129.4603
1981-10,893.8064516129032,1193.4492
1981-11,1492.6666666666667,1794.7311
1981-12,1740.967741935484,2332.5046
1982-01,1856.1290322580646,2477.5696
1982-02,1447.5,2332.0024
1982-03,1207.0967741935483,1944.7145
1982-04,1140.2333333333333,1646.1759
1982-05,844.1612903225806,1239.348
1982-06,490.3,946.5695
1982-07,394.16129032258067,766.9709
1982-08,321.48387096774195,414.2555
1982-09,293.93333333333334,274.9249
1982-10,330.9032258064516,408.6386
1982-11,364.26666666666665,401.9883
1982-12,421.7741935483871,430.8754
1983-01,674.258064516129,570.1187
1983-02,924.25,840.42816
1983-03,847.9354838709677,1004.08795
1983-04,1314.7666666666667,1546.3324
1983-05,1008.483870967742,1731.3732
1983-06,577.1333333333333,1420.7726
1983-07,316.7741935483871,708.2219
1983-08,517.7741935483871,623.46136
1983-09,332.9,416.129
1983-10,349.6774193548387,423.88223
1983-11,335.46666666666664,359.8732
1983-12,424.19354838709677,463.39832
1984-01,604.1290322580645,600.787
1984-02,718.1724137931035,926.0227
1984-03,603.7096774193549,987.12384
1984-04,773.6,954.54785
1984-05,624.6774193548387,843.21405
1984-06,780.5666666666667,983.7149
1984-07,485.741935483871,904.0571
1984-08,496.258064516129,757.40094
1984-09,463.1,651.184
1984-10,613.2258064516129,706.7851
1984-11,474.23333333333335,680.3058
1984-12,581.0322580645161,822.5645
1985-01,512.5806451612904,846.4087
1985-02,805.5714285714286,1164.1324
1985-03,727.9677419354839,1161.2656
1985-04,1010.4333333333333,1318.3776
1985-05,727.5483870967741,1216.1368
1985-06,518.1,859.76306
1985-07,426.80645161290323,753.54913
1985-08,412.16129032258067,667.0239
1985-09,401.46666666666664,632.1344
1985-10,343.51612903225805,506.30255
1985-11,366.56666666666666,433.6502
1985-12,586.0,580.95856
1986-01,888.3548387096774,1096.2771
1986-02,896.8214285714286,1516.8538
1986-03,813.5806451612904,1260.2902
1986-04,1248.0,1630.5197
1986-05,817.3225806451613,1369.994
1986-06,1257.1,1407.0786
1986-07,455.96774193548384,974.1409
1986-08,389.6774193548387,648.8886
1986-09,478.7,721.0929
1986-10,453.4193548387097,662.17505
1986-11,573.6666666666666,686.30756
1986-12,498.6774193548387,681.9636
1987-01,1499.8064516129032,1801.0139
1987-02,1440.4285714285713,2014.4729
1987-03,1470.6451612903227,2203.739
1987-04,2181.6666666666665,2043.1934
1987-05,1177.0967741935483,1607.2103
1987-06,1043.2666666666667,1258.8794
1987-07,848.8709677419355,1237.3813
1987-08,761.7741935483871,1211.9617
1987-09,665.5,1158.4731
1987-10,601.3225806451613,1054.2134
1987-11,647.2333333333333,904.39166
1987-12,891.5806451612904,1223.4205
1988-01,1077.483870967742,1561.0942
1988-02,1099.7586206896551,1810.1724
1988-03,1568.0645161290322,2495.6506
1988-04,2295.3333333333335,2788.8335
1988-05,735.3548387096774,1529.2731
1988-06,561.3,1032.8951
1988-07,481.1290322580645,857.0799
1988-08,373.2903225806452,594.3362
1988-09,436.46666666666664,572.4309
1988-10,434.9032258064516,552.34467
1988-11,439.96666666666664,540.0697
1988-12,1030.6451612903227,811.2849
1989-01,1195.0645161290322,1177.773
1989-02,663.25,1072.4625
1989-03,806.7096774193549,1175.003
1989-04,593.4666666666667,1208.4596
1989-05,588.2903225806451,971.9968
1989-06,328.76666666666665,669.2951
1989-07,265.1290322580645,452.1082
1989-08,250.74193548387098,351.0903
1989-09,260.6,405.11243
1989-10,338.5483870967742,448.32645
1989-11,453.1333333333333,528.02795
1989-12,622.6774193548387,626.146
1990-01,597.0967741935484,847.67114
1990-02,584.0714285714286,839.3576
1990-03,997.6129032258065,1183.1085
1990-04,499.2,1089.7059
1990-05,460.35483870967744,893.4194
1990-06,373.3,806.64197
1990-07,283.9032258064516,713.8986
1990-08,209.80645161290323,281.653
1990-09,281.9,372.32098
1990-10,297.7096774193548,378.915
1990-11,392.2,407.76822
1990-12,540.9032258064516,616.76953
1991-01,755.0,953.8156
1991-02,436.14285714285717,872.1881
1991-03,497.741935483871,814.7153
1991-04,468.3,802.40173
1991-05,420.48387096774195,719.6852
1991-06,332.3333333333333,632.37494
1991-07,330.4516129032258,583.1434
1991-08,378.9032258064516,375.60654
1991-09,227.3,173.08348
1991-10,234.7741935483871,257.2652
1991-11,302.43333333333334,306.88776
1991-12,362.4193548387097,371.32474
1992-01,761.6451612903226,613.3297
1992-02,660.5172413793103,883.25757
1992-03,890.516129032258,1086.9009
1992-04,1115.2,1627.7814
1992-05,579.3870967741935,1119.5061
1992-06,298.8333333333333,679.34186
1992-07,330.61290322580646,526.92975
1992-08,237.83870967741936,282.38657
1992-09,250.33333333333334,383.19183
1992-10,256.4516129032258,319.21713
1992-11,364.7,421.5969
1992-12,592.0322580645161,584.57263
1993-01,617.5806451612904,747.83527
1993-02,659.7857142857143,978.1586
1993-03,725.4516129032259,974.878
1993-04,672.9333333333333,910.43823
1993-05,379.83870967741933,658.6794
1993-06,377.6666666666667,591.6901
1993-07,382.4516129032258,641.62366
1993-08,408.4516129032258,644.39606
1993-09,406.73333333333335,607.2536
1993-10,376.8709677419355,654.1702
1993-11,457.26666666666665,575.2647
1993-12,836.0,814.465
1994-01,1707.4193548387098,1914.582
1994-02,1254.5357142857142,2331.682
1994-03,1447.0967741935483,1908.5134
1994-04,1762.3333333333333,2717.5251
1994-05,972.4193548387096,1892.668
1994-06,618.4666666666667,1149.6477
1994-07,351.06451612903226,665.02856
1994-08,320.51612903225805,384.42322
1994-09,509.26666666666665,680.26465
1994-10,415.64516129032256,571.77856
1994-11,471.2,475.6374
1994-12,648.8064516129032,577.17053
1995-01,913.1612903225806,865.6487
1995-02,1774.642857142857,1611.5391
1995-03,1051.1290322580646,1717.7262
1995-04,1380.7333333333333,1783.5675
1995-05,1046.741935483871,1546.8138
1995-06,1244.2,1380.0994
1995-07,651.6129032258065,1202.5925
1995-08,347.51612903225805,532.96625
1995-09,707.3,754.93274
1995-10,635.8387096774194,735.7585
1995-11,684.6333333333333,719.8162
1995-12,662.1290322580645,808.39624
1996-01,735.5483870967741,909.9112
1996-02,551.9655172413793,812.50256
1996-03,546.1935483870968,824.6391
1996-04,919.0333333333333,817.9173
1996-05,1054.483870967742,778.215
1996-06,696.0666666666667,770.7948
1996-07,758.2903225806451,792.8935
1996-08,509.4193548387097,715.6955
1996-09,492.76666666666665,696.66693
1996-10,521.5483870967741,721.606
1996-11,706.5333333333333,802.4503
1996-12,617.8387096774194,989.3067
1997-01,553.1612903225806,944.64343
1997-02,772.6428571428571,969.46765
1997-03,1269.6129032258063,1444.8994
1997-04,990.3666666666667,1490.7224
1997-05,686.1290322580645,1204.3796
1997-06,397.6,915.89966
1997-07,634.1935483870968,843.02
1997-08,590.1290322580645,878.94464
1997-09,322.7,587.9291
1997-10,347.51612903225805,511.8865
1997-11,327.4,508.72894
1997-12,481.51612903225805,570.4716
1998-01,685.1290322580645,924.2668
1998-02,528.7142857142857,1076.3092
1998-03,856.0,1226.1456
1998-04,678.7666666666667,1517.6605
1998-05,388.5806451612903,1110.1399
1998-06,317.93333333333334,722.8806
1998-07,323.61290322580646,641.8996
1998-08,283.93548387096774,511.2702
1998-09,491.7,626.45825
1998-10,642.4516129032259,730.49945
1998-11,1598.2333333333333,1550.2173
1998-12,943.1290322580645,1596.3109
1999-01,917.9677419354839,1525.7555
1999-02,1157.75,1601.2196
1999-03,1896.774193548387,2146.3557
1999-04,991.7333333333333,1804.1866
1999-05,587.3225806451613,1280.6427
1999-06,466.8,970.7786
1999-07,463.38709677419354,828.9485
1999-08,274.7096774193548,488.50128
1999-09,245.66666666666666,316.13617
1999-10,285.35483870967744,430.1327
1999-11,326.03333333333336,452.8092
1999-12,420.16129032258067,483.78336
2000-01,511.2903225806452,610.5792
2000-02,1123.9655172413793,979.01874
2000-03,1791.9354838709678,1936.1959
2000-04,1519.2666666666667,2509.861
2000-05,522.1935483870968,1395.8347
2000-06,331.6666666666667,842.11743
2000-07,275.741935483871,620.39624
2000-08,311.258064516129,557.2891
2000-09,304.5,544.9981
2000-10,342.96774193548384,543.1195
2000-11,326.1333333333333,492.9428
2000-12,341.258064516129,499.74698
2001-01,402.35483870967744,613.9069
2001-02,586.5357142857143,831.8981
2001-03,750.8387096774194,1074.2461
2001-04,1097.2666666666667,1752.3417
2001-05,636.483870967742,1389.7219
2001-06,417.3666666666667,887.34174
2001-07,389.4516129032258,793.4529
2001-08,390.7096774193548,606.8581
2001-09,614.8,705.69977
2001-10,613.741935483871,1015.85803
2001-11,539.1666666666666,850.87726
2001-12,823.7741935483871,1097.8866
2002-01,794.9354838709677,1498.4282
2002-02,1880.7142857142858,1804.474
2002-03,1721.2903225806451,2471.88
2002-04,1073.7,1919.1359
2002-05,751.2258064516129,1585.9447
2002-06,523.3666666666667,1228.9265
2002-07,459.35483870967744,983.34186
2002-08,1552.516129032258,1375.0068
2002-09,985.9666666666667,1160.0006
2002-10,832.1290322580645,874.76715
2002-11,1576.3333333333333,1356.389
2002-12,1453.6774193548388,1929.7241
2003-01,2131.2903225806454,2381.223
2003-02,1249.142857142857,2295.4773
2003-03,1036.1935483870968,1749.7747
2003-04,703.0333333333333,1382.5884
2003-05,520.8709677419355,956.4518
2003-06,346.3666666666667,672.08417
2003-07,242.32258064516128,341.28558
2003-08,199.09677419354838,146.58197
2003-09,211.16666666666666,279.0441
2003-10,258.0967741935484,354.90683
2003-11,269.3,332.94327
2003-12,329.93548387096774,371.20746
2004-01,462.51612903225805,485.87967
2004-02,953.7586206896551,786.01685
2004-03,669.4516129032259,830.27295
2004-04,735.0,831.45764
2004-05,564.9354838709677,763.96594
2004-06,515.3666666666667,693.7103
2004-07,356.51612903225805,638.22864
2004-08,254.70967741935485,453.56583
2004-09,233.53333333333333,246.29613
2004-10,293.93548387096774,351.95172
2004-11,461.76666666666665,431.86978
2004-12,628.9677419354839,610.13776
2005-01,789.3870967741935,775.6537
2005-02,1139.75,1151.4023
2005-03,1228.8064516129032,1315.1779
2005-04,1150.7666666666667,1350.137
2005-05,622.1290322580645,946.4439
2005-06,421.9,754.63947
2005-07,420.48387096774195,663.6468
2005-08,484.741935483871,712.3361
2005-09,500.1666666666667,530.0594
2005-10,439.48387096774195,541.89294
2005-11,359.9,482.92587
2005-12,438.8709677419355,516.37555
2006-01,522.3225806451613,694.753
2006-02,657.0714285714286,857.6246
2006-03,797.4516129032259,1108.8733
2006-04,2384.6666666666665,1703.073
2006-05,959.6129032258065,1352.5809
2006-06,771.3666666666667,979.85065
2006-07,458.7096774193548,558.71436
2006-08,438.51612903225805,453.94382
2006-09,359.1333333333333,408.17227
2006-10,301.5483870967742,416.95908
2006-11,425.8666666666667,470.94287
2006-12,381.51612903225805,502.09607
2007-01,618.2903225806451,597.5083
2007-02,972.1071428571429,1043.6976
2007-03,1007.9032258064516,1505.2029
2007-04,609.9,1481.7079
2007-05,359.258064516129,830.6255
2007-06,432.93333333333334,763.3949
2007-07,450.38709677419354,785.4825
2007-08,486.83870967741933,733.75946
2007-09,520.4666666666667,663.2275
2007-10,737.516129032258,760.55524
2007-11,884.9,778.62946
2007-12,1303.967741935484,1192.4058
2008-01,871.3870967741935,1247.3064
2008-02,1177.2068965517242,1806.9154
2008-03,1145.6129032258063,1662.7372
2008-04,1322.3333333333333,1975.4567
2008-05,743.2258064516129,1627.641
2008-06,393.6333333333333,912.8658
2008-07,295.2903225806452,650.9759
2008-08,248.41935483870967,416.80167
2008-09,254.13333333333333,480.87466
2008-10,323.4193548387097,497.72916
2008-11,431.43333333333334,556.5596
2008-12,544.3225806451613,596.18146
2009-01,468.741935483871,667.4352
2009-02,499.75,735.80115
2009-03,1576.0,1310.7693
2009-04,1074.7666666666667,1654.4352
2009-05,517.2903225806451,968.8676
2009-06,434.5,789.7234
2009-07,750.3548387096774,818.6966
2009-08,389.6774193548387,634.5706
2009-09,258.06666666666666,429.32135
2009-10,363.258064516129,530.72437
2009-11,603.0333333333333,696.46906
2009-12,681.741935483871,866.5285
2010-01,775.6451612903226,1115.2677
2010-02,589.25,1009.1285
2010-03,1386.4516129032259,1905.3784
2010-04,1178.7333333333333,1829.7524
2010-05,753.4516129032259,1219.3384
2010-06,984.1333333333333,1139.1981
2010-07,393.4193548387097,666.16223
2010-08,1035.5483870967741,802.8617
2010-09,921.5333333333333,1163.7235
2010-10,1304.5806451612902,1448.6464
2010-11,1032.1,1296.3325
2010-12,1442.9032258064517,1966.46
2011-01,2306.7741935483873,2324.9827
2011-02,1758.9285714285713,2647.673
2011-03,951.4193548387096,1769.4722
2011-04,773.2666666666667,1287.388
2011-05,465.19354838709677,853.50464
2011-06,364.26666666666665,623.96027
2011-07,519.6774193548387,680.75934
2011-08,731.6451612903226,975.1774
2011-09,616.6333333333333,761.3517
2011-10,543.0645161290323,595.47986
2011-11,446.23333333333335,499.43143
2011-12,577.0645161290323,513.4723
2012-01,1250.483870967742,1050.1743
2012-02,1040.2413793103449,1577.8221
2012-03,1261.8387096774193,1428.5345
2012-04,674.0666666666667,1105.1421
2012-05,488.2903225806452,783.0085
2012-06,347.23333333333335,603.5109
2012-07,485.9032258064516,724.817
2012-08,358.64516129032256,542.0196
2012-09,310.03333333333336,388.81058
2012-10,377.93548387096774,434.61423
2012-11,425.1666666666667,450.72983
2012-12,616.0645161290323,624.9738
2013-01,1364.2903225806451,1231.8683
2013-02,1390.4642857142858,1675.3732
2013-03,1134.6129032258063,1647.7148
2013-04,940.2666666666667,1407.5731
2013-05,841.741935483871,1151.4568
2013-06,2389.6666666666665,1603.8335
2013-07,976.516129032258,1285.1549
2013-08,468.5806451612903,839.32886
2013-09,450.26666666666665,637.0256
