,Q$obs$ GRDC,Q$sim$ PCR-GLOBWB (1km)
1975-10,135.58064516129033,3.935409
1975-11,134.53333333333333,4.8299203
1975-12,182.48387096774192,5.559959
1976-01,150.83870967741936,5.278905
1976-02,162.44827586206895,5.1251683
1976-03,139.48387096774192,3.7998054
1976-04,180.73333333333332,2.8424597
1976-05,152.83870967741936,2.8150537
1976-06,164.36666666666667,2.2804794
1976-07,111.3225806451613,1.602047
1976-08,146.38709677419354,2.681105
1976-09,107.66666666666667,1.0023313
1976-10,168.3548387096774,3.0146606
1976-11,237.63333333333333,5.115961
1976-12,329.48387096774195,8.623868
1977-01,302.3225806451613,8.667632
1977-02,474.0357142857143,9.375394
1977-03,254.7741935483871,8.993719
1977-04,189.56666666666666,5.8409824
1977-05,99.96774193548387,3.6486268
1977-06,202.1,4.1572547
1977-07,167.19354838709677,1.7413892
1977-08,86.93548387096774,0.48555663
1977-09,80.46666666666667,3.418741
1977-10,,1.4032584
1977-11,,2.416442
1977-12,,7.2631693
1978-01,,4.5289526
1978-02,,9.587552
1978-03,,9.586189
1978-04,,12.120518
1978-05,,6.988117
1978-06,,3.82715
1978-07,,1.2032729
1978-08,,0.5902195
1978-09,,3.6395342
1978-10,108.54838709677419,5.1004324
1978-11,165.36666666666667,2.721011
1978-12,215.09677419354838,3.3041048
1979-01,300.741935483871,9.677533
1979-02,389.10714285714283,11.103941
1979-03,156.3548387096774,8.296382
1979-04,169.33333333333334,9.259567
1979-05,197.0,4.006762
1979-06,100.26666666666667,2.6566968
1979-07,57.61290322580645,3.4959464
1979-08,110.93548387096774,1.2250483
1979-09,105.73333333333333,1.0340316
1979-10,138.96774193548387,4.214645
1979-11,236.36666666666667,11.705197
1979-12,243.09677419354838,7.6796527
1980-01,320.258064516129,15.576197
1980-02,329.6896551724138,12.072235
1980-03,271.6774193548387,12.382955
1980-04,309.6,10.6260395
1980-05,438.96774193548384,10.571833
1980-06,247.9,7.848538
1980-07,92.35483870967742,2.645693
1980-08,72.38709677419355,1.8807273
1980-09,73.73333333333333,1.4694941
1980-10,99.48387096774194,0.7405662
1980-11,98.36666666666666,2.7224643
1980-12,258.61290322580646,14.536556
1981-01,392.8709677419355,16.467777
1981-02,602.0357142857143,19.583399
1981-03,344.2903225806452,15.502495
1981-04,181.4,8.545327
1981-05,150.3548387096774,5.113889
1981-06,71.63333333333334,2.240004
1981-07,96.64516129032258,1.6298126
1981-08,81.64516129032258,1.2220972
1981-09,102.76666666666667,1.2047411
1981-10,90.0,2.9648547
1981-11,127.66666666666667,7.0028176
1981-12,145.48387096774192,14.375803
1982-01,201.29032258064515,11.928663
1982-02,176.35714285714286,12.213221
1982-03,244.09677419354838,11.527569
1982-04,240.9,13.379896
1982-05,190.7741935483871,9.72486
1982-06,125.43333333333334,3.7931197
1982-07,62.45161290322581,1.9543405
1982-08,67.87096774193549,1.3242061
1982-09,75.53333333333333,1.0861534
1982-10,,1.3911483
1982-11,,1.9299277
1982-12,,4.3322043
1983-01,,2.1030254
1983-02,,4.4305067
1983-03,,2.3809254
1983-04,,1.64011
1983-05,,2.2062507
1983-06,,6.34509
1983-07,,4.873883
1983-08,,1.3834955
1983-09,,2.662075
1983-10,,1.4177899
1983-11,,1.66769
1983-12,,3.8676128
1984-01,,5.8530025
1984-02,,6.2684073
1984-03,,17.71852
1984-04,,13.183075
1984-05,,8.25599
1984-06,,3.754087
1984-07,,2.5962658
1984-08,,1.7641522
1984-09,,1.2931372
1984-10,,0.7057308
1984-11,,3.4140384
1984-12,,0.9201995
1985-01,,5.331605
1985-02,,2.5986917
1985-03,,4.673545
1985-04,,3.2905762
1985-05,,1.4142104
1985-06,,2.4298282
1985-07,,1.5364465
1985-08,,1.3539373
1985-09,,1.2026747
1985-10,26.129032258064516,1.2698793
1985-11,42.766666666666666,4.5142508
1985-12,56.16129032258065,2.2763593
1986-01,43.38709677419355,7.1348543
1986-02,326.60714285714283,9.585403
1986-03,253.93548387096774,8.574139
1986-04,76.26666666666667,5.7115808
1986-05,109.6774193548387,3.3937585
1986-06,71.06666666666666,4.9801736
1986-07,66.19354838709677,1.6526184
1986-08,42.806451612903224,1.9979284
1986-09,49.4,1.324936
