,Q$obs$ GRDC,Q$sim$ PCR-GLOBWB (1km)
1981-01,392.8709677419355,61.670097
1981-02,602.0357142857143,74.55217
1981-03,344.2903225806452,98.78908
1981-04,181.4,125.8218
1981-05,150.3548387096774,115.94089
1981-06,71.63333333333334,94.62657
1981-07,96.64516129032258,54.321175
1981-08,81.64516129032258,37.308228
1981-09,102.76666666666667,37.435837
1981-10,90.0,39.76022
1981-11,127.66666666666667,36.700214
1981-12,145.48387096774192,41.20908
1982-01,201.29032258064515,58.268913
1982-02,176.35714285714286,51.454792
1982-03,244.09677419354838,50.355328
1982-04,240.9,79.3553
1982-05,190.7741935483871,97.18039
1982-06,125.43333333333334,91.94018
1982-07,62.45161290322581,64.9175
1982-08,67.87096774193549,52.968906
1982-09,75.53333333333333,46.796448
1982-10,,49.497467
1982-11,,42.653477
1982-12,,42.526245
1983-01,,53.048233
1983-02,,56.272087
1983-03,,57.561802
1983-04,,61.771275
1983-05,,49.265656
1983-06,,62.08587
1983-07,,87.818565
1983-08,,71.115265
1983-09,,54.165237
1983-10,,55.516285
1983-11,,39.02345
1983-12,,30.723978
1984-01,,45.898052
1984-02,,64.691574
1984-03,,116.1231
1984-04,,193.09518
1984-05,,203.98837
1984-06,,155.00418
1984-07,,105.65553
1984-08,,72.95763
1984-09,,61.236465
1984-10,,51.19802
1984-11,,45.810764
1984-12,,35.904106
1985-01,,31.288574
1985-02,,35.75078
1985-03,,39.181515
1985-04,,65.4862
1985-05,,76.11288
