,E,total_evaporation
1980-01-01,0.27684757832752144,
1980-02-01,0.3738761667534174,
1980-03-01,1.029290185127773,
1980-04-01,1.5640578943328936,
1980-05-01,2.040860840867079,
1980-06-01,2.6831441784933667,
1980-07-01,2.8379765342476984,
1980-08-01,2.5396965728338454,
1980-09-01,1.6082631774440443,
1980-10-01,0.9248304185942657,
1980-11-01,0.3597060213023592,
1980-12-01,0.03210708293150539,
1981-01-01,0.03025733541591431,0.35937592291062875
1981-02-01,0.3232060464822458,0.5644430433000837
1981-03-01,1.1924209578928595,1.2723755375031502
1981-04-01,1.7361698373447638,2.4258265177408855
1981-05-01,2.3496691668791785,3.3472243278257308
1981-06-01,3.034741850868836,4.354459635416666
1981-07-01,3.049522366718197,4.2373160085370465
1981-08-01,2.7039022353905833,3.673035160187752
1981-09-01,1.6741604349221462,2.1752904256184897
1981-10-01,0.8824964591332446,1.2684174814531881
1981-11-01,0.18128773031776096,0.6034675598144531
1981-12-01,0.3796596522172625,0.2555955302330755
1982-01-01,0.18957297752389793,0.29997994822840535
1982-02-01,0.4270584965082854,0.5353814874376569
1982-03-01,1.037838507305172,1.332765640751008
1982-04-01,1.6342147742039204,2.4400095621744793
1982-05-01,2.4949090649656998,3.6072171118951615
1982-06-01,3.0560102860655762,4.084965515136719
1982-07-01,3.059800388760655,3.9889459917622228
1982-08-01,2.3803362237305317,3.2488459925497732
1982-09-01,1.8131635193495041,2.597088623046875
1982-10-01,1.0370341646771608,1.2387655934979838
1982-11-01,0.5512448740055907,0.5194351832071941
1982-12-01,0.2238580776638909,0.26820164342080394
1983-01-01,0.09601557476056108,0.3694191594277659
1983-02-01,0.32423416192980986,0.5333140918186733
1983-03-01,1.1017696196190991,1.3124177994266633
1983-04-01,1.736710150684307,2.2085179646809894
1983-05-01,2.1324152705994495,3.017584031628024
1983-06-01,2.863793646052797,4.316910807291666
1983-07-01,3.376267202602483,4.8162482477003525
1983-08-01,2.30283028986778,3.2119088942004788
1983-09-01,1.639379291549924,2.5224736531575522
1983-10-01,0.8069138098118205,1.3114975960023942
1983-11-01,0.19520703530850855,0.5141582806905111
1983-12-01,0.2854803083327242,0.24327156620640908
1984-01-01,0.15597089442674006,0.3092428022815335
1984-02-01,0.3787311814537188,0.5423393907218144
1984-03-01,0.9113802512231826,1.2660608599262853
1984-04-01,1.6609789576002751,2.440281931559245
1984-05-01,1.9324046579208563,2.6276774252614667
1984-06-01,2.818244197943532,4.283382161458333
1984-07-01,3.1118608403194963,4.4494279430758565
1984-08-01,2.466915604483069,3.3496891144783265
1984-09-01,1.5976365889755053,2.3225413004557294
1984-10-01,0.879049666872599,1.2754311100129159
1984-11-01,0.3524995371862983,0.4940090815226237
1984-12-01,0.17245172569576503,0.23666363377724925
1985-01-01,0.26361856496338637,0.24920019026725523
1985-02-01,0.35578172027914284,0.5283732073647636
1985-03-01,1.033556024413117,1.1211006410660282
1985-04-01,1.7792944536370519,2.5823961893717446
1985-05-01,2.269459326175606,3.203222951581401
1985-06-01,2.8919672868529394,4.11231435139974
1985-07-01,3.233774547267631,4.4124544205204135
1985-08-01,2.550807691962243,3.7330115533644155
1985-09-01,1.5892370671069085,2.478967539469401
1985-10-01,0.6618489295316821,1.1232020470403856
1985-11-01,0.3568068895118746,0.44797801971435547
1985-12-01,0.18645390527070219,0.2348376089526761
1986-01-01,0.2896676443270176,0.30894750164401147
1986-02-01,0.38447686004964277,0.4643510750361851
1986-03-01,1.0035240144091286,1.2633978320706276
1986-04-01,1.662922412167627,1.85340576171875
1986-05-01,2.5919233650971374,3.7281137281848538
1986-06-01,3.0089252980624104,4.37471923828125
1986-07-01,3.0659115713075216,4.260799284904234
1986-08-01,2.4227176954042062,3.3711151615265877
1986-09-01,1.523230879903544,2.2542544047037762
1986-10-01,0.7981054883468274,1.3071270604287424
1986-11-01,0.2860939251301283,0.47702204386393227
1986-12-01,0.05936486546174733,0.2568018513341104
1987-01-01,0.15416716148790202,0.27404945127425656
1987-02-01,0.5524104128550376,0.4606110027858189
1987-03-01,0.7859175916458283,1.205688230452999
1987-04-01,1.9021075482433993,2.5587890625
1987-05-01,2.4327857620627187,3.5013587705550657
1987-06-01,2.9205691873040887,4.014767710367838
1987-07-01,3.025738671193595,3.9126129150390625
1987-08-01,2.306514129707399,3.152458929246472
1987-09-01,1.6850575906311518,2.4344579060872396
1987-10-01,0.9426013635997955,1.1125056359075731
1987-11-01,0.3337793601057785,0.5608278274536133
1987-12-01,0.1265119980804994,0.24758432757469914
1988-01-01,0.30150396410477437,0.29618383223010647
1988-02-01,0.3941308100087232,0.6621467984955887
1988-03-01,1.0083357137779712,1.5074864049111643
1988-04-01,1.6052269221866948,2.233398183186849
1988-05-01,2.3517935123201696,3.199011033581149
1988-06-01,2.861346069612402,4.124799855550131
1988-07-01,3.266910784878902,4.5414098924206145
1988-08-01,2.4857100803610446,3.4733798119329635
1988-09-01,1.5131330613434386,2.3348670959472657
1988-10-01,0.9550052156957399,1.1721348916330645
1988-11-01,0.15722017114762507,0.5156215349833171
1988-12-01,0.08870659158725308,0.2664590343352287
1989-01-01,0.07720343121729058,0.3087874074136057
1989-02-01,0.5229761844960958,0.5919169698442731
1989-03-01,1.0798797791543986,1.525574961016255
1989-04-01,1.7083745481151356,2.0240062713623046
1989-05-01,2.493451072344161,3.797400197675151
1989-06-01,2.8958722212706336,3.982861073811849
1989-07-01,3.2208513604458724,4.1549234697895665
1989-08-01,2.6524177467596664,3.2730282198998237
1989-09-01,1.6081970669522918,2.231004333496094
1989-10-01,0.793695821853159,1.2738790204448085
1989-11-01,0.26234765582204406,0.4685968399047852
1989-12-01,0.18348043630313537,0.225502198742282
1990-01-01,0.15281744944505285,0.27165071425899384
1990-02-01,0.5157295309357829,0.6611505235944476
1990-03-01,1.0098263009828887,1.4671458582724295
1990-04-01,1.655156692498348,2.213195546468099
1990-05-01,2.4389198537523047,3.5686913767168598
1990-06-01,2.8831790235025663,3.8304148356119794
1990-07-01,3.1823913223599987,3.8931158742597027
1990-08-01,2.4350102447353437,3.0512648551694808
1990-09-01,1.3698392035602538,1.8784071604410808
1990-10-01,1.1141461278328089,1.1579324045488912
1990-11-01,0.3639067966234864,0.5581634521484375
1990-12-01,0.1748124795721794,0.24112518372074251
1991-01-01,0.18328617649463408,0.30545003952518585
1991-02-01,0.38429079474923755,0.5699383871895927
1991-03-01,1.2643957211527554,1.3327993577526462
1991-04-01,1.7511081848478485,2.4098917643229165
1991-05-01,2.2693245275305327,3.422452865108367
1991-06-01,2.9046768406604198,4.21797612508138
1991-07-01,3.2444649115494584,4.5501290598223285
1991-08-01,2.485224211592337,3.287812263734879
1991-09-01,1.601980757766159,1.8969844818115233
1991-10-01,0.9937270859015512,1.2564280110020791
1991-11-01,0.41592259629197187,0.5141566912333171
1991-12-01,0.024200109398758603,0.27458080168693294
1992-01-01,0.25882969266094435,0.29838709677419356
1992-02-01,0.47885980444013826,0.6409049198545259
1992-03-01,1.1558552711244967,1.4096010269657258
1992-04-01,1.7633287090200482,2.346870930989583
1992-05-01,2.5906323481481532,3.4920046406407512
1992-06-01,2.8937871378998383,3.6942927042643228
1992-07-01,3.3254954768615357,4.1351342970325105
1992-08-01,2.890208047768857,3.2201764506678425
1992-09-01,1.733696252163984,2.0662615458170572
1992-10-01,1.0202387024272848,1.1299696891538558
1992-11-01,0.3185982637536705,0.5672920227050782
1992-12-01,0.2167344995493633,0.25670540717340284
1993-01-01,0.09364564605513603,0.3286266326904297
1993-02-01,0.34539387581113673,0.6687938826424735
1993-03-01,0.9670327763675918,1.4003252829274824
1993-04-01,1.8100347619142656,2.3222613016764324
1993-05-01,2.6402631674402506,3.7636420957503782
1993-06-01,3.0790489556377945,4.245392862955729
1993-07-01,3.150482039843236,4.2130437051096274
1993-08-01,2.584107786055643,3.3444137573242188
1993-09-01,1.5984956968752955,2.074874496459961
1993-10-01,1.0896845450057528,1.1382051283313381
1993-11-01,0.31180774257498395,0.49753751754760744
1993-12-01,0.10649711299150344,0.2844265660931987
1994-01-01,0.34503442577338217,0.3501462013490738
1994-02-01,0.4934679953482678,0.5382912499564034
1994-03-01,1.2156514587720346,1.6901878849152596
1994-04-01,1.7654215698159053,2.426807912190755
