,lwe_thickness,total_thickness_of_water_storage
1958-01-31,,-54.94163495644716
1958-02-28,,-57.05979901894716
1958-03-31,,-55.27464276894716
1958-04-30,,-47.67600995644716
1958-05-31,,-54.09495526894716
1958-06-30,,-61.31272870644716
1958-07-31,,-63.86790448769716
1958-08-31,,-71.49192792519716
1958-09-30,,-72.23850995644716
1958-10-31,,-68.81028730019716
1958-11-30,,-62.27610761269716
1958-12-31,,-55.01585370644716
1959-01-31,,-53.32102948769716
1959-02-28,,-55.27464276894716
1959-03-31,,-53.80296308144716
1959-04-30,,-52.64915448769716
1959-05-31,,-52.60960370644716
1959-06-30,,-55.65013105019716
1959-07-31,,-62.60960370644716
1959-08-31,,-65.43772870644716
1959-09-30,,-66.31370526894716
1959-10-31,,-63.66429120644716
1959-11-30,,-56.55638105019716
1959-12-31,,-42.71165448769716
1960-01-31,,-44.81370526894716
1960-02-29,,-42.02415448769716
1960-03-31,,-38.51048261269716
1960-04-30,,-41.92063886269716
1960-05-31,,-47.86595136269716
1960-06-30,,-52.09544355019716
1960-07-31,,-58.11155683144716
1960-08-31,,-59.23216230019716
1960-09-30,,-56.14329511269716
1960-10-31,,-50.75608808144716
1960-11-30,,-45.08177167519716
1960-12-31,,-43.17747480019716
1961-01-31,,-40.40013105019716
1961-02-28,,-43.03294355019716
1961-03-31,,-47.69261151894716
1961-04-30,,-48.67600995644716
1961-05-31,,-50.67210370644716
1961-06-30,,-52.08323651894716
1961-07-31,,-57.66868573769716
1961-08-31,,-63.73802167519716
1961-09-30,,-67.94798261269716
1961-10-31,,-63.24339276894716
1961-11-30,,-54.93186933144716
1961-12-31,,-52.65599042519716
1962-01-31,,-49.28684980019716
1962-02-28,,-50.89671308144716
1962-03-31,,-46.32688886269716
1962-04-30,,-44.00950605019716
1962-05-31,,-48.43528730019716
1962-06-30,,-50.84983808144716
1962-07-31,,-58.36009198769716
1962-08-31,,-64.90403730019716
1962-09-30,,-68.89183026894716
1962-10-31,,-67.08958417519716
1962-11-30,,-55.71800214394716
1962-12-31,,-55.57591230019716
1963-01-31,,-47.64720136269716
1963-02-28,,-46.64573651894716
1963-03-31,,-44.80931073769716
1963-04-30,,-39.49974042519716
1963-05-31,,-43.40061933144716
1963-06-30,,-44.16917401894716
1963-07-31,,-53.35911542519716
1963-08-31,,-54.25267011269716
1963-09-30,,-50.04905683144716
1963-10-31,,-53.95725995644716
1963-11-30,,-44.21507245644716
1963-12-31,,-43.47386151894716
1964-01-31,,-47.50218183144716
1964-02-29,,-48.73167401894716
1964-03-31,,-41.63548261269716
1964-04-30,,-37.84642011269716
1964-05-31,,-46.44456464394716
1964-06-30,,-52.07640058144716
1964-07-31,,-56.82640058144716
1964-08-31,,-59.71849042519716
1964-09-30,,-60.54075605019716
1964-10-31,,-55.24729901894716
1964-11-30,,-53.18479901894716
1964-12-31,,-48.82102948769716
1965-01-31,,-44.99729901894716
1965-02-28,,-45.70677167519716
1965-03-31,,-43.13938886269716
1965-04-30,,-45.98509198769716
1965-05-31,,-48.28147870644716
1965-06-30,,-46.55198651894716
1965-07-31,,-52.30052167519716
1965-08-31,,-55.49143964394716
1965-09-30,,-50.63743573769716
1965-10-31,,-49.28977948769716
1965-11-30,,-46.82786542519716
1965-12-31,,-43.89280683144716
1966-01-31,,-42.97532636269716
1966-02-28,,-38.94602948769716
1966-03-31,,-37.84593183144716
1966-04-30,,-37.04075605019716
1966-05-31,,-39.24778730019716
1966-06-30,,-47.11643964394716
1966-07-31,,-50.01585370644716
1966-08-31,,-51.25852948769716
1966-09-30,,-52.51927167519716
1966-10-31,,-43.00706464394716
