,lwe_thickness,total_thickness_of_water_storage
1981-01-31,,-17.878762269631352
1981-02-28,,-20.782570863381352
1981-03-31,,-20.792336488381352
1981-04-30,,-16.091652894631352
1981-05-31,,-17.106789613381352
1981-06-30,,-23.458352113381352
1981-07-31,,-25.868752504006352
1981-08-31,,-31.987893129006352
1981-09-30,,-29.748391175881352
1981-10-31,,-22.498879457131352
1981-11-30,,-24.077492738381352
1981-12-31,,-22.679055238381352
1982-01-31,,-15.570656800881352
1982-02-28,,-17.961525941506352
1982-03-31,,-16.548684144631352
1982-04-30,,-18.853127504006352
1982-05-31,,-20.833107972756352
1982-06-30,,-29.555031800881352
1982-07-31,,-38.05918219150635
1982-08-31,,-36.52573492588135
1982-09-30,,-31.959816957131352
1982-10-31,,-24.738625550881352
1982-11-30,,-19.699074769631352
1982-12-31,,-11.977395082131352
1983-01-31,,-16.189553285256352
1983-02-28,,-16.510842347756352
1983-03-31,,-14.159768129006352
1983-04-30,,-9.611672425881352
1983-05-31,,-6.602395082131352
1983-06-30,,-13.496438050881352
1983-07-31,,-24.235695863381352
1983-08-31,,-34.80088141025635
1983-09-30,,-34.18174078525635
1983-10-31,,-38.22983648838135
1983-11-30,,-38.82529547275635
1983-12-31,,-34.34336187900635
1984-01-31,,-27.769387269631352
1984-02-29,,-24.543313050881352
1984-03-31,,-19.391945863381352
1984-04-30,,-15.181740785256352
1984-05-31,,-11.153176332131352
1984-06-30,,-11.307717347756352
1984-07-31,,-27.993996644631352
1984-08-31,,-32.77549078525635
1984-09-30,,-30.793068910256352
1984-10-31,,-23.907570863381352
1984-11-30,,-22.319924379006352
1984-12-31,,-17.918557191506352
1985-01-31,,-14.858742738381352
1985-02-28,,-12.006691957131352
1985-03-31,,-7.289406800881352
1985-04-30,,-10.388772035256352
1985-05-31,,-8.997658754006352
1985-06-30,,-15.071877504006352
1985-07-31,,-25.369484925881352
1985-08-31,,-31.621926332131352
1985-09-30,,-36.44028570713135
1985-10-31,,-40.57260992588135
1985-11-30,,-36.08432867588135
1985-12-31,,-31.371438050881352
1986-01-31,,-24.137307191506352
1986-02-28,,-12.704934144631352
1986-03-31,,-10.724709535256352
1986-04-30,,-4.121682191506352
1986-05-31,,-2.516945863381352
1986-06-30,,-12.973000550881352
1986-07-31,,-23.861428285256352
1986-08-31,,-31.381936097756352
1986-09-30,,-33.62339117588135
1986-10-31,,-37.08921148838135
1986-11-30,,-36.12656500400635
1986-12-31,,-33.77158453525635
1987-01-31,,-28.870217347756352
1987-02-28,,-21.256691957131352
1987-03-31,,-18.419045472756352
1987-04-30,,-14.335549379006352
1987-05-31,,-19.150979066506352
1987-06-30,,-22.185158754006352
1987-07-31,,-27.426613832131352
1987-08-31,,-30.958352113381352
