,Q$obs$ GRDC,Q$sim$ PCR-GLOBWB (1km)
1980-01,1723.8709677419354,1739.891
1980-02,1694.4827586206898,1433.5682
1980-03,2136.7741935483873,1750.4646
1980-04,1374.4666666666667,1462.9596
1980-05,1514.1935483870968,1929.6006
1980-06,2614.6666666666665,4103.6597
1980-07,1304.2903225806451,2193.5173
1980-08,875.0322580645161,1543.3281
1980-09,1033.6,1052.595
1980-10,1814.3548387096773,2010.8792
1980-11,1685.6666666666667,1414.0284
1980-12,1284.3870967741937,1077.2773
1981-01,786.6451612903226,701.5451
1981-02,690.3571428571429,482.40707
1981-03,703.1290322580645,675.95764
1981-04,1850.1333333333334,2249.6414
1981-05,2081.6129032258063,1894.1863
1981-06,1882.1333333333334,1811.5656
1981-07,2222.2580645161293,3289.6824
1981-08,1222.032258064516,905.5851
1981-09,1960.9666666666667,1919.8176
1981-10,2959.032258064516,2331.069
1981-11,1360.6666666666667,1226.4054
1981-12,1052.9032258064517,1053.6998
1982-01,1430.6451612903227,1305.2542
1982-02,1168.392857142857,871.6933
1982-03,1332.5806451612902,951.13416
1982-04,963.2,1195.0754
1982-05,1259.3870967741937,1730.6935
1982-06,957.4,2398.097
1982-07,594.483870967742,1092.3679
1982-08,1254.6774193548388,1720.3502
1982-09,1770.0,1719.7207
1982-10,2523.548387096774,2868.6907
1982-11,2496.3333333333335,2091.5134
1982-12,2739.032258064516,2570.6865
1983-01,1102.1935483870968,1063.1006
1983-02,888.1428571428571,767.69293
1983-03,1672.225806451613,1335.8408
1983-04,1925.6666666666667,2479.3508
1983-05,3567.4193548387098,3596.5479
1983-06,2245.3333333333335,2432.2642
1983-07,1280.0645161290322,1797.1758
1983-08,870.2903225806451,1349.421
1983-09,1421.3333333333333,1288.7968
1983-10,929.0,410.79684
1983-11,723.0,235.22098
1983-12,920.4516129032259,1032.197
1984-01,733.2903225806451,598.2254
1984-02,732.1724137931035,509.9593
1984-03,1198.516129032258,924.164
1984-04,1636.3333333333333,1839.8887
1984-05,3469.6774193548385,3591.481
1984-06,3074.6666666666665,3809.715
1984-07,795.4516129032259,1989.3005
1984-08,1087.0645161290322,2244.3792
1984-09,1568.8333333333333,2249.9834
1984-10,2316.451612903226,2209.34
1984-11,1615.0,1807.5529
1984-12,1569.3548387096773,1941.2228
1985-01,1345.3870967741937,1493.596
1985-02,1611.4285714285713,1398.246
1985-03,2799.032258064516,2364.338
1985-04,1630.6666666666667,2301.604
1985-05,2705.4193548387098,3164.8118
1985-06,2006.0,3486.9158
1985-07,794.6774193548387,1974.1914
1985-08,869.3870967741935,1587.8916
1985-09,896.0333333333333,691.5627
1985-10,825.6774193548387,191.1432
1985-11,806.9666666666667,802.1361
1985-12,702.6774193548387,605.9223
