,Q$obs$ GRDC,Q$sim$ PCR-GLOBWB (1km)
1981-01,786.6451612903226,1361.4553
1981-02,690.3571428571429,690.3835
1981-03,703.1290322580645,639.41547
1981-04,1850.1333333333334,2456.2734
1981-05,2081.6129032258063,1632.8044
1981-06,1882.1333333333334,2102.838
1981-07,2222.2580645161293,2071.3928
1981-08,1222.032258064516,1396.5856
1981-09,1960.9666666666667,1358.2678
1981-10,2959.032258064516,2343.3982
1981-11,1360.6666666666667,1568.239
1981-12,1052.9032258064517,826.87964
1982-01,1430.6451612903227,1481.8026
1982-02,1168.392857142857,814.97546
1982-03,1332.5806451612902,893.8119
1982-04,963.2,826.4063
1982-05,1259.3870967741937,1038.1874
1982-06,957.4,1677.0126
1982-07,594.483870967742,1098.7977
1982-08,1254.6774193548388,1134.4541
1982-09,1770.0,1465.6952
1982-10,2523.548387096774,1821.0103
1982-11,2496.3333333333335,1839.8596
1982-12,2739.032258064516,2720.224
1983-01,1102.1935483870968,1053.2007
1983-02,888.1428571428571,567.57336
1983-03,1672.225806451613,901.36523
1983-04,1925.6666666666667,1952.1432
1983-05,3567.4193548387098,2624.9988
1983-06,2245.3333333333335,2331.1558
1983-07,1280.0645161290322,2094.754
1983-08,870.2903225806451,1170.5499
1983-09,1421.3333333333333,1114.3203
1983-10,929.0,632.64233
1983-11,723.0,445.78506
1983-12,920.4516129032259,412.09167
1984-01,733.2903225806451,482.69736
1984-02,732.1724137931035,386.4533
1984-03,1198.516129032258,677.1507
1984-04,1636.3333333333333,1226.5901
1984-05,3469.6774193548385,1909.3744
1984-06,3074.6666666666665,2759.767
1984-07,795.4516129032259,1669.0552
1984-08,1087.0645161290322,1076.7101
1984-09,1568.8333333333333,1051.8468
1984-10,2316.451612903226,1353.2484
1984-11,1615.0,1079.9744
1984-12,1569.3548387096773,1339.8804
1985-01,1345.3870967741937,923.00214
1985-02,1611.4285714285713,1653.1505
1985-03,2799.032258064516,2046.0132
1985-04,1630.6666666666667,1435.9788
1985-05,2705.4193548387098,1695.3165
1985-06,2006.0,1995.321
1985-07,794.6774193548387,1526.3729
1985-08,869.3870967741935,1179.4976
1985-09,896.0333333333333,813.0537
1985-10,825.6774193548387,458.8825
1985-11,806.9666666666667,357.04208
1985-12,702.6774193548387,374.03183
