,Q$obs$ GRDC,Q$sim$ PCR-GLOBWB (1km)
1981-01,90.78741935483872,98.1298
1981-02,79.6232142857143,75.70626
1981-03,176.1445161290322,123.97797
1981-04,43.63899999999999,89.89475
1981-05,46.83870967741935,69.434494
1981-06,36.035999999999994,62.8977
1981-07,13.900645161290322,15.284728
1981-08,12.734645161290318,5.601869
1981-09,28.18073333333333,6.4776373
1981-10,111.79516129032258,64.39841
1981-11,77.088,66.70806
1981-12,91.04290322580646,62.732502
1982-01,160.8564516129032,103.527565
1982-02,59.533928571428575,80.63361
1982-03,132.6648387096774,108.76077
1982-04,32.969,62.09523
1982-05,16.548387096774192,16.88706
1982-06,32.693666666666665,9.526082
1982-07,22.015161290322578,14.580611
1982-08,20.448064516129033,9.880208
1982-09,31.75733333333333,11.215629
1982-10,66.17967741935483,47.894135
1982-11,131.35766666666666,69.372795
1982-12,154.42193548387095,75.80412
1983-01,128.65161290322578,79.61391
1983-02,81.78571428571429,59.780357
1983-03,49.264516129032245,45.879566
1983-04,92.73,67.31257
1983-05,91.06774193548388,108.984436
1983-06,36.65333333333332,56.254223
1983-07,12.774838709677418,10.396503
1983-08,10.682903225806452,2.2101328
1983-09,38.646666666666675,13.081799
1983-10,65.24838709677418,24.902393
1983-11,31.796666666666667,13.458468
1983-12,112.06451612903227,43.641182
1984-01,151.93870967741935,81.06129
1984-02,119.27241379310348,94.21189
1984-03,40.316129032258054,59.246372
1984-04,22.01000000000001,42.76798
1984-05,18.654838709677417,9.640463
1984-06,23.049999999999997,7.2585826
1984-07,13.80322580645161,1.243281
1984-08,11.93225806451613,0.770037
1984-09,19.363333333333337,3.4298792
1984-10,51.39677419354839,15.269871
1984-11,145.93666666666664,49.145073
1984-12,95.80645161290325,55.066948
1985-01,55.30645161290322,41.42635
1985-02,75.14642857142859,50.176903
1985-03,46.251612903225805,49.826977
1985-04,83.12333333333335,74.914345
1985-05,28.25161290322581,41.430397
1985-06,53.71666666666667,36.85204
