,Q$obs$ GRDC,Q$sim$ PCR-GLOBWB (1km)
1958-01,729.1612903225806,1464.7955
1958-02,1645.357142857143,1694.6603
1958-03,1714.8387096774193,1674.9153
1958-04,3134.6666666666665,2617.2249
1958-05,1903.8709677419354,2041.7155
1958-06,853.3666666666667,1680.5604
1958-07,1216.032258064516,2723.883
1958-08,736.8387096774194,1673.8257
1958-09,653.6,1046.3523
1958-10,954.2903225806451,1489.262
1958-11,1023.5,1179.4409
1958-12,845.0322580645161,1139.1119
1959-01,913.4516129032259,1460.0042
1959-02,857.6785714285714,1166.1115
1959-03,1593.4193548387098,1450.3932
1959-04,950.2666666666667,1348.7948
1959-05,738.4516129032259,947.0666
1959-06,656.0333333333333,1253.2819
1959-07,725.8387096774194,1771.4661
1959-08,783.9354838709677,1732.8751
1959-09,438.7,379.24088
1959-10,366.0967741935484,240.7751
1959-11,390.96666666666664,421.08572
1959-12,396.7741935483871,552.35144
1960-01,661.0967741935484,1033.4843
1960-02,693.6551724137931,844.153
1960-03,1258.483870967742,1241.2827
1960-04,1054.0,971.1799
1960-05,828.0967741935484,1182.1985
1960-06,805.9666666666667,2087.118
1960-07,1180.0645161290322,2711.126
1960-08,2289.6774193548385,3885.4595
1960-09,1055.4,1864.535
1960-10,803.6774193548387,1660.5082
1960-11,1117.1333333333334,1756.5684
1960-12,1412.9032258064517,1897.3402
1961-01,944.6451612903226,1551.2344
1961-02,1159.75,1583.4945
1961-03,1263.5483870967741,1319.2139
1961-04,1126.9333333333334,1604.3049
1961-05,711.3225806451613,1421.2601
1961-06,642.3666666666667,1676.7478
1961-07,465.6774193548387,1220.0754
1961-08,696.8064516129032,2106.0422
1961-09,494.8666666666667,552.8216
1961-10,397.93548387096774,321.97678
1961-11,512.5666666666667,855.1256
1961-12,589.0645161290323,823.88226
1962-01,742.9354838709677,810.39
1962-02,781.25,1102.8549
1962-03,1271.6774193548388,1239.547
1962-04,2701.0,1999.76
1962-05,1994.8387096774193,2831.6672
1962-06,2789.0,2956.6858
1962-07,1217.6451612903227,2231.2444
1962-08,846.1290322580645,1807.2778
1962-09,665.6666666666666,1280.6621
1962-10,722.9354838709677,671.842
1962-11,685.5333333333333,978.4736
1962-12,740.0967741935484,1063.3329
1963-01,555.6129032258065,652.75696
1963-02,484.0357142857143,465.556
1963-03,1075.8064516129032,1059.3018
1963-04,2061.0,1514.9883
1963-05,1239.3548387096773,1455.6407
1963-06,688.4333333333333,1083.301
1963-07,402.19354838709677,648.06805
1963-08,392.2903225806452,1328.412
1963-09,473.56666666666666,1315.4498
1963-10,629.4193548387096,1237.1763
1963-11,661.0,1135.0325
1963-12,589.483870967742,625.73553
1964-01,563.9032258064516,526.9614
1964-02,506.13793103448273,765.9576
1964-03,448.741935483871,562.8963
1964-04,3124.6666666666665,1934.5094
1964-05,1192.5483870967741,1340.4486
1964-06,595.9666666666667,1040.03
1964-07,475.93548387096774,912.7461
1964-08,397.19354838709677,1235.5406
1964-09,414.1666666666667,833.28
1964-10,467.4193548387097,662.8217
1964-11,589.2666666666667,837.2567
1964-12,1004.258064516129,1158.7004
1965-01,650.9677419354839,1008.22003
1965-02,678.6785714285714,837.915
1965-03,1586.774193548387,1382.4248
1965-04,1972.3333333333333,1695.4305
1965-05,1315.1612903225807,1915.5796
1965-06,1699.0,2910.1877
1965-07,1063.1935483870968,2336.1306
1965-08,1068.0645161290322,2364.979
1965-09,955.3333333333334,2499.8176
1965-10,651.6129032258065,1015.9255
1965-11,497.6666666666667,641.9615
1965-12,1001.1290322580645,1531.9949
1966-01,742.8064516129032,1140.1158
1966-02,1749.107142857143,1970.5114
1966-03,2613.2258064516127,2221.6116
1966-04,1615.3333333333333,2496.3328
1966-05,1046.3548387096773,1754.1207
1966-06,1113.9333333333334,2225.7534
1966-07,1146.6451612903227,2812.8022
1966-08,1276.6451612903227,2253.1213
1966-09,909.3333333333334,1899.712
1966-10,638.0322580645161,1015.03107
1966-11,1021.2,1906.8575
1966-12,1767.0967741935483,2369.2917
1967-01,902.9677419354839,1627.8062
1967-02,1852.4642857142858,2399.1252
1967-03,3124.516129032258,2527.4778
1967-04,2032.0,2702.4246
1967-05,1936.1290322580646,3150.3596
1967-06,1612.6666666666667,3464.3647
1967-07,932.9677419354839,1756.3977
1967-08,681.258064516129,1427.0276
1967-09,599.7,930.84686
1967-10,621.8064516129032,858.5555
1967-11,649.3333333333334,796.779
1967-12,663.0967741935484,1255.2511
1968-01,1030.5483870967741,1365.967
1968-02,1643.7241379310344,1464.2848
1968-03,1572.741935483871,1651.5648
1968-04,1730.0,1769.8899
1968-05,1043.8709677419354,1887.6772
1968-06,1110.6,2419.333
1968-07,683.6129032258065,1507.4495
1968-08,972.8709677419355,1695.4609
1968-09,856.4,1481.2715
1968-10,985.9354838709677,1615.2755
1968-11,928.8,1316.8159
1968-12,778.516129032258,1018.6619
1969-01,642.0322580645161,865.63904
1969-02,648.6428571428571,851.14404
1969-03,769.8064516129032,918.1896
1969-04,1802.3333333333333,1468.5046
1969-05,1146.0,1470.8743
1969-06,782.8666666666667,1451.4653
1969-07,829.0645161290323,1687.4943
1969-08,476.741935483871,1106.5165
1969-09,542.8,1194.5754
1969-10,399.7741935483871,249.96494
1969-11,425.93333333333334,760.75006
1969-12,476.7741935483871,431.2609
1970-01,603.7096774193549,465.33673
1970-02,685.6785714285714,390.68564
1970-03,1050.483870967742,1098.9537
1970-04,3153.0,3387.2068
1970-05,1982.258064516129,2863.9155
1970-06,1481.8666666666666,2322.3909
1970-07,1398.5806451612902,3145.5986
1970-08,1482.258064516129,2766.4663
1970-09,944.7333333333333,1566.5848
1970-10,841.9354838709677,1232.9723
1970-11,1480.8,1914.9983
1970-12,1793.5483870967741,1757.8932
1971-01,1126.741935483871,1512.3772
1971-02,2240.3571428571427,1867.8586
1971-03,1758.1612903225807,1760.9889
1971-04,1846.6666666666667,1820.2281
1971-05,1152.8064516129032,1536.7534
1971-06,908.4333333333333,1939.7565
1971-07,932.5806451612904,1670.464
1971-08,529.4516129032259,854.31793
1971-09,484.1666666666667,908.6355
1971-10,583.2903225806451,715.5798
1971-11,611.1,527.1728
1971-12,841.0322580645161,774.4253
1972-01,675.7096774193549,551.78455
1972-02,598.0,641.6537
1972-03,866.8064516129032,588.0417
1972-04,923.4333333333333,1281.991
1972-05,1112.3870967741937,1514.5424
1972-06,851.7666666666667,1568.3079
1972-07,884.3870967741935,1841.8845
1972-08,1054.0,2488.8274
1972-09,1451.5333333333333,2865.4272
1972-10,1161.3548387096773,1583.3494
1972-11,1091.8,1259.6483
1972-12,1027.967741935484,1066.9982
1973-01,526.8387096774194,743.7148
1973-02,1055.9642857142858,1032.4891
1973-03,1564.516129032258,1241.258
1973-04,1412.0,1235.8846
1973-05,991.0645161290323,1332.08
1973-06,947.1,1956.615
1973-07,1195.0967741935483,1887.724
1973-08,1008.483870967742,1351.3212
1973-09,509.6666666666667,454.20782
1973-10,558.6774193548387,904.7129
1973-11,725.9333333333333,716.2106
1973-12,661.741935483871,707.3742
1974-01,1102.483870967742,975.09985
1974-02,1543.9285714285713,1061.866
1974-03,1041.032258064516,727.48706
1974-04,631.5333333333333,538.6878
1974-05,664.1935483870968,857.77313
1974-06,1644.2666666666667,2203.4463
1974-07,1539.3548387096773,2864.398
1974-08,1343.0645161290322,2231.7627
