,Q$obs$ GRDC,Q$sim$ PCR-GLOBWB (1km)
1981-01,1797.741935483871,2637.1616
1981-02,1863.5714285714287,3144.9285
1981-03,2094.516129032258,3226.917
1981-04,1699.3333333333333,2732.2292
1981-05,1240.8387096774193,1057.1753
1981-06,1112.9333333333334,461.00552
1981-07,1186.1290322580646,445.8143
1981-08,1088.6451612903227,428.33884
1981-09,1137.8666666666666,420.29675
1981-10,1016.0645161290323,415.17786
1981-11,1589.6666666666667,962.6332
1981-12,1441.9354838709678,1800.9235
1982-01,1741.9354838709678,3340.8796
1982-02,1090.4642857142858,2590.0486
1982-03,1881.3225806451612,2092.4333
1982-04,1681.6666666666667,1557.1884
1982-05,1402.5806451612902,1059.4352
1982-06,920.0,459.57242
1982-07,1017.1612903225806,247.47949
1982-08,638.6129032258065,181.35527
1982-09,529.7666666666667,91.07963
1982-10,561.483870967742,43.871468
1982-11,607.7666666666667,19.7586
1982-12,736.9677419354839,20.517038
1983-01,1207.225806451613,127.96958
1983-02,1282.642857142857,788.2426
1983-03,1641.2903225806451,1514.9541
1983-04,1768.6666666666667,2504.8928
1983-05,1307.3548387096773,1425.098
1983-06,882.2,612.4434
1983-07,841.9677419354839,211.18709
1983-08,645.516129032258,224.894
1983-09,473.8666666666667,146.97144
1983-10,596.1612903225806,118.55895
1983-11,616.3,130.46117
1983-12,569.1612903225806,115.855865
1984-01,801.8064516129032,197.47531
1984-02,731.6896551724138,453.0906
1984-03,741.741935483871,610.1161
1984-04,948.1333333333333,720.6481
1984-05,848.4193548387096,544.59467
1984-06,944.9333333333333,473.83975
1984-07,1044.8387096774193,617.34845
1984-08,655.1935483870968,566.7478
1984-09,510.9,198.11642
1984-10,850.4516129032259,266.46185
1984-11,637.3,302.2754
1984-12,705.4193548387096,368.2958
1985-01,481.03225806451616,491.57678
1985-02,689.4285714285714,970.6762
1985-03,1199.1290322580646,1204.2915
1985-04,1646.0,1696.1031
1985-05,1348.7096774193549,1093.2946
1985-06,1167.3333333333333,861.7138
1985-07,1060.225806451613,899.5819
1985-08,1183.7096774193549,958.5965
1985-09,1050.4666666666667,1485.8997
1985-10,790.7741935483871,1048.5254
1985-11,769.2333333333333,913.47375
1985-12,1342.3225806451612,1572.3041
1986-01,1282.9032258064517,2629.5808
1986-02,1064.857142857143,2960.5864
1986-03,1364.8709677419354,1699.4912
1986-04,1652.6666666666667,1744.1368
1986-05,957.0,993.8834
1986-06,941.7333333333333,358.55923
1986-07,615.0,189.6303
1986-08,624.3870967741935,143.7386
1986-09,635.6333333333333,179.97296
1986-10,596.0,133.94658
1986-11,673.0,128.47328
1986-12,608.741935483871,174.7474
1987-01,590.0967741935484,300.55396
1987-02,1102.3214285714287,676.47424
1987-03,988.9032258064516,1528.0591
1987-04,1896.6666666666667,2118.932
1987-05,1205.8064516129032,1194.8754
1987-06,1400.6333333333334,925.9235
1987-07,736.1290322580645,563.95953
1987-08,619.7096774193549,263.4512
1987-09,576.3333333333334,203.8935
1987-10,710.9032258064516,243.8737
1987-11,715.8,313.42563
1987-12,1100.4193548387098,647.69086
1988-01,1462.3870967741937,1773.7043
1988-02,1215.1379310344828,1915.9116
1988-03,1480.6451612903227,2342.3713
1988-04,1879.6666666666667,2709.811
1988-05,959.8064516129032,1090.8888
1988-06,942.5333333333333,453.9119
1988-07,947.5483870967741,455.33594
1988-08,639.7096774193549,330.9338
1988-09,779.2333333333333,274.98752
1988-10,691.1935483870968,378.4355
1988-11,613.6333333333333,233.24179
1988-12,925.1612903225806,398.3675
1989-01,1343.2903225806451,1448.9646
1989-02,1013.75,1250.9105
1989-03,1149.032258064516,1292.8413
1989-04,959.7,1363.3953
1989-05,1358.4516129032259,1122.542
1989-06,1040.5666666666666,821.9135
1989-07,846.5483870967741,578.36536
1989-08,505.38709677419354,294.63504
1989-09,626.0666666666667,258.47952
1989-10,606.6451612903226,267.7919
1989-11,627.4666666666667,248.11545
1989-12,785.741935483871,300.87115
1990-01,839.516129032258,698.59625
1990-02,882.6428571428571,786.1249
1990-03,1007.5806451612904,1188.8821
1990-04,918.5,1051.3518
1990-05,792.1612903225806,875.246
1990-06,634.7,353.1312
1990-07,584.8387096774194,187.82831
1990-08,480.19354838709677,129.62175
1990-09,597.8,102.50229
1990-10,770.7741935483871,185.65575
1990-11,728.9333333333333,199.01588
1990-12,1004.1612903225806,666.24384
1991-01,946.3870967741935,1086.5128
1991-02,687.4285714285714,908.4252
1991-03,1147.6451612903227,1157.9531
1991-04,992.0,1130.88
1991-05,991.1290322580645,787.6178
1991-06,863.0,666.7951
1991-07,580.5806451612904,410.7341
1991-08,773.6774193548387,407.17044
1991-09,458.73333333333335,413.09552
1991-10,540.1290322580645,243.09319
1991-11,680.5666666666667,348.96066
1991-12,622.4516129032259,599.8634
1992-01,728.7741935483871,779.90204
1992-02,956.5862068965517,947.7825
1992-03,1087.4516129032259,1368.9978
1992-04,1260.4333333333334,2121.0076
1992-05,875.0,1236.1333
1992-06,703.0,543.3456
1992-07,466.3225806451613,186.27896
1992-08,334.51612903225805,49.266697
1992-09,418.4,29.234129
1992-10,471.741935483871,27.531311
1992-11,884.4666666666667,74.877914
1992-12,1060.6774193548388,473.18997
1993-01,958.7741935483871,614.21375
1993-02,1015.1428571428571,1078.2742
1993-03,1148.516129032258,920.0458
1993-04,1831.0,1875.2805
1993-05,819.3225806451613,884.9046
1993-06,536.4666666666667,188.6662
1993-07,503.83870967741933,96.26516
1993-08,552.2258064516129,78.35617
