,E,total_evaporation
1980-01-01,0.06849430028142567,
1980-02-01,0.2773117678339427,
1980-03-01,0.7157665831470155,
1980-04-01,1.5418954622232723,
1980-05-01,2.150499742490427,
1980-06-01,2.6298946711888416,
1980-07-01,2.250373188037785,
1980-08-01,2.0268223534138783,
1980-09-01,1.189516096958036,
1980-10-01,0.4636138252106295,
1980-11-01,0.18834830557112678,
1980-12-01,0.14848920510666058,
1981-01-01,0.11025257233853968,0.08954669583228327
1981-02-01,0.17583356068247608,0.1706446749823434
1981-03-01,0.9283339311164513,0.37616791263703375
1981-04-01,1.587652174367009,0.8642751693725585
1981-05-01,2.47452131138053,1.3960736182428175
1981-06-01,2.5021883229619535,1.4437763214111328
1981-07-01,2.389311957188616,1.4008192246960056
1981-08-01,1.9937922044990417,1.268463626984627
1981-09-01,1.2399456360883503,0.8551832834879557
1981-10-01,0.6570119361601984,0.5263767857705394
1981-11-01,0.3364352835017113,0.2135203202565511
1981-12-01,0.24513024288681287,0.07344027488462386
1982-01-01,0.11690324321781626,0.08284276531588647
1982-02-01,0.18614794583528765,0.16364373479570662
1982-03-01,0.8475419337987954,0.3876883291429089
1982-04-01,1.5897327401034935,0.8615630467732748
1982-05-01,2.437934285021242,1.3342531265751008
1982-06-01,2.770659225634878,1.56064453125
1982-07-01,2.7528900959856477,1.5758888490738407
1982-08-01,1.9816997759222643,1.3650464703959804
1982-09-01,1.128882298174307,0.9385489145914714
1982-10-01,0.4477318059780205,0.46732416460590975
1982-11-01,0.12295951894623895,0.2057934602101644
1982-12-01,0.16538421903507172,0.10165702912115282
1983-01-01,0.1897588732886406,0.15570086817587575
1983-02-01,0.16741125602799364,0.14777423654283797
1983-03-01,0.7270860651232929,0.3340422722601121
1983-04-01,1.6960351585423856,0.91365172068278
1983-05-01,2.099104656343019,1.2650513187531502
1983-06-01,2.6626107301304835,1.5103892008463542
1983-07-01,2.9069272144640594,1.6492190207204511
1983-08-01,2.086325476936584,1.3327630566012474
1983-09-01,1.0756308378294295,0.9441791534423828
1983-10-01,0.37032525860678644,0.5183066706503591
1983-11-01,0.16833668481798134,0.1588440736134847
1983-12-01,0.07726058911696264,0.09805878516166441
1984-01-01,0.1158145370365147,0.13585675147271925
1984-02-01,0.21466583673892037,0.15810862902937264
1984-03-01,0.686869819345237,0.3470760776150611
1984-04-01,1.5581068628630268,0.8571739832560221
1984-05-01,2.0664464157873055,1.2405480415590349
